latitude_deg,fuel_consumed_kg,final_mass_kg,earth_rotation_speed_m_s,solver_success
-90.000000,4.697821e+06,2.771791e+05,2.857506e-14,1
-85.000000,4.694613e+06,2.803873e+05,40.671594,1
-80.000000,4.691318e+06,2.836825e+05,81.027494,1
-75.000000,4.687956e+06,2.870436e+05,120.754832,1
-70.000000,4.684561e+06,2.904387e+05,159.546345,1
-65.000000,4.681163e+06,2.938370e+05,197.103045,1
-60.000000,4.677795e+06,2.972050e+05,233.136755,1
-55.000000,4.674498e+06,3.005018e+05,267.372459,1
-50.000000,4.671309e+06,3.036914e+05,299.550445,1
-45.000000,4.668266e+06,3.067343e+05,329.428221,1
-40.000000,4.665412e+06,3.095881e+05,356.782189,1
-35.000000,4.662786e+06,3.122145e+05,381.409086,1
-30.000000,4.660423e+06,3.145775e+05,403.127197,1
-25.000000,4.658358e+06,3.166422e+05,421.777344,1
-20.000000,4.656623e+06,3.183774e+05,437.223681,1
-15.000000,4.655265e+06,3.197346e+05,449.354323,1
-10.000000,4.654253e+06,3.207468e+05,458.081807,1
-5.000000,4.653639e+06,3.213610e+05,463.343436,1
0.000000,4.653433e+06,3.215669e+05,465.101507,1
5.000000,4.653639e+06,3.213610e+05,463.343436,1
10.000000,4.654253e+06,3.207468e+05,458.081807,1
15.000000,4.655265e+06,3.197346e+05,449.354323,1
20.000000,4.656623e+06,3.183774e+05,437.223681,1
25.000000,4.658358e+06,3.166422e+05,421.777344,1
30.000000,4.660423e+06,3.145775e+05,403.127197,1
35.000000,4.662786e+06,3.122145e+05,381.409086,1
40.000000,4.665412e+06,3.095881e+05,356.782189,1
45.000000,4.668266e+06,3.067343e+05,329.428221,1
50.000000,4.671309e+06,3.036914e+05,299.550445,1
55.000000,4.674498e+06,3.005018e+05,267.372459,1
60.000000,4.677795e+06,2.972050e+05,233.136755,1
65.000000,4.681163e+06,2.938370e+05,197.103045,1
70.000000,4.684561e+06,2.904387e+05,159.546345,1
75.000000,4.687956e+06,2.870436e+05,120.754832,1
80.000000,4.691318e+06,2.836825e+05,81.027494,1
85.000000,4.694613e+06,2.803873e+05,40.671594,1
90.000000,4.697821e+06,2.771791e+05,2.857506e-14,1
