metric,value
reference_label,nominal
solver_rate,1
mission_success_rate_raw,1
mission_success_rate_slack,1
log_available_count,10
trajectory_available_count,10
successful_replay_count_raw,10
successful_replay_count_slack,10
slack_only_replay_count,0
omitted_replay_labels,
omitted_success_envelope_labels,
mass_spread_kg,1.45148369484e-05
max_position_separation_km,0.0153257751089
max_altitude_delta_km,0.00376684763711
max_velocity_delta_m_s,0.0560152805365
max_terminal_criteria_ratio,0.000725241052385
max_path_utilization_ratio,0.995752965006
median_success_runtime_s,97.4305610657
median_non_raw_runtime_s,nan
median_failure_runtime_s,nan
status_count_pass_raw,10
solver_status_count_solve_ok,10
