phase,interval_index,position_defect_m,velocity_defect_m_s,mass_defect_kg,max_relative_defect
boost,0,1.16415321827e-10,8.15106358643e-14,9.31322574615e-10,1.24408229485e-14
boost,1,1.16415321827e-10,1.18311233204e-13,0,5.01184252448e-15
boost,2,1.16415321827e-10,1.22710133888e-13,0,2.3693679776e-15
boost,3,0,1.52435844945e-13,9.31322574615e-10,5.99850841246e-15
boost,4,9.31322574615e-10,1.28107229586e-13,0,3.22307363847e-15
boost,5,1.04125029291e-09,1.79693223502e-13,0,2.43493505878e-15
boost,6,1.16415321827e-10,1.35236648977e-13,0,9.86844397937e-16
boost,7,9.31322574615e-10,1.92273704552e-13,0,1.20042286137e-15
boost,8,1.16415321827e-10,1.97966183404e-13,0,2.27064023258e-15
boost,9,9.31322574615e-10,2.50233137719e-13,0,2.30010486731e-15
boost,10,9.3857033042e-10,4.77281663045e-13,0,6.8410209194e-15
boost,11,9.3857033042e-10,2.28066509261e-13,0,5.56123124295e-16
boost,12,1.16415321827e-10,2.85634644715e-13,0,8.1586311211e-16
boost,13,9.3857033042e-10,4.17288869699e-13,0,3.57477466543e-15
boost,14,0,3.30917686773e-13,0,2.26795161948e-15
boost,15,0,4.36622585077e-13,0,3.90004706901e-15
boost,16,0,5.97701183688e-13,0,3.95130354239e-15
boost,17,1.04773789644e-09,5.7126928943e-13,9.31322574615e-10,4.56429237835e-15
boost,18,0,6.68401323771e-13,9.31322574615e-10,4.16321523133e-15
boost,19,0,7.21821896786e-13,0,5.07250431086e-15
boost,20,1.16415321827e-10,8.01497245232e-13,0,5.04246638004e-15
boost,21,4.65661287308e-10,9.82914597545e-13,0,6.38042908852e-15
boost,22,1.16415321827e-10,1.10552777748e-12,0,7.36868577126e-15
boost,23,4.65661287308e-10,1.22023173712e-12,9.31322574615e-10,7.22894594719e-15
boost,24,4.65661287308e-10,1.30932803279e-12,0,7.29651964368e-15
boost,25,4.65661287308e-10,1.46895151918e-12,9.31322574615e-10,8.48765101236e-15
boost,26,4.79992668333e-10,1.6330120982e-12,0,8.85391116447e-15
boost,27,9.31322574615e-10,1.90939108514e-12,9.31322574615e-10,9.88179989329e-15
boost,28,1.16415321827e-10,1.91525209503e-12,9.31322574615e-10,9.66115773387e-15
boost,29,0,2.22965547997e-12,9.31322574615e-10,1.07373690012e-14
boost,30,4.65661287308e-10,2.6659275591e-12,4.65661287308e-10,1.28136463029e-14
boost,31,4.79992668333e-10,2.83092210731e-12,4.65661287308e-10,1.28051691476e-14
boost,32,1.16415321827e-10,3.13837967139e-12,0,1.40896341813e-14
boost,33,9.3857033042e-10,3.57266653234e-12,0,1.52870652274e-14
boost,34,1.3222238854e-09,3.85365785756e-12,4.65661287308e-10,1.62718476772e-14
boost,35,4.79992668333e-10,4.60837225313e-12,4.65661287308e-10,1.81068532646e-14
boost,36,4.65661287308e-10,4.85903183512e-12,4.65661287308e-10,1.86942132925e-14
boost,37,4.79992668333e-10,5.36306812311e-12,4.65661287308e-10,1.99837955749e-14
boost,38,1.16415321827e-10,6.2732996854e-12,0,2.06064297995e-14
boost,39,9.3857033042e-10,2.66733919598e-11,3.72529029846e-09,5.01710694136e-14
boost,40,0,3.78899896913e-11,5.12227416039e-09,7.09716787458e-14
boost,41,9.3857033042e-10,8.58609681142e-12,9.31322574615e-10,1.67438874973e-14
boost,42,1.86264514923e-09,8.7876069424e-12,9.31322574615e-10,1.57185515711e-14
boost,43,9.31322574615e-10,9.22830627988e-12,9.31322574615e-10,1.5208716676e-14
boost,44,1.16415321827e-10,9.99636410929e-12,9.31322574615e-10,1.51971186445e-14
boost,45,9.3857033042e-10,1.05432283933e-11,9.31322574615e-10,1.60563264802e-14
boost,46,9.31322574615e-10,1.12952607745e-11,9.31322574615e-10,1.7619484153e-14
boost,47,1.16415321827e-10,1.20789590065e-11,1.86264514923e-09,1.89348749382e-14
boost,48,1.16415321827e-10,1.29833404937e-11,1.39698386192e-09,2.05874065004e-14
boost,49,4.65661287308e-10,1.4094101896e-11,1.39698386192e-09,2.23699710126e-14
boost,50,4.65661287308e-10,1.52976402214e-11,1.86264514923e-09,2.4273315088e-14
boost,51,1.16415321827e-10,1.66112187676e-11,1.39698386192e-09,2.62880759897e-14
boost,52,0,1.80774807672e-11,1.86264514923e-09,2.84047858343e-14
boost,53,9.31322574615e-10,1.96915481363e-11,1.86264514923e-09,3.0613867409e-14
boost,54,4.79992668333e-10,3.45371018901e-11,3.25962901115e-09,5.23129625267e-14
boost,55,0,1.86156989666e-11,1.86264514923e-09,2.72905753905e-14
boost,56,5.20625146455e-10,3.19179645073e-10,3.77185642719e-08,5.93996319836e-13
boost,57,1.16415321827e-10,1.30955492836e-10,1.30385160446e-08,1.96423429132e-13
boost,58,1.16415321827e-10,3.40708262072e-10,3.25962901115e-08,6.28128170395e-13
boost,59,4.79992668333e-10,2.69979910827e-11,0,5.1639963612e-14
boost,60,9.3857033042e-10,2.47089292704e-11,0,4.5562119639e-14
boost,61,4.79992668333e-10,2.30545617823e-11,0,4.05721348798e-14
boost,62,0,2.15072542059e-11,0,3.62676627628e-14
boost,63,1.04125029291e-09,2.04718398594e-11,4.65661287308e-10,3.36452404074e-14
boost,64,9.31322574615e-10,1.92467652849e-11,0,3.00911668277e-14
boost,65,9.31322574615e-10,1.82922793133e-11,0,2.73116016116e-14
