phase,interval_index,solver_ok,end_position_error_m,end_velocity_error_m_s,end_mass_error_kg,max_relative_error,sampled_max_q_pa,sampled_max_g,q_margin_pa,g_margin
boost,0,1,1.20466910277e-07,2.88608363309e-09,0,5.11460802497e-10,20.0907105815,1.5327916782,-34979.9092894,-2.4672083218
boost,1,1,1.20852561726e-07,2.98724403163e-09,0,2.62780211266e-10,81.5040348015,1.54074931087,-34918.4959652,-2.45925068913
boost,2,1,1.23551762594e-07,3.0881039638e-09,9.31322574615e-10,1.79802213753e-10,185.898707301,1.54882865417,-34814.1012927,-2.45117134583
boost,3,1,1.24765999632e-07,3.18304648411e-09,0,1.38009094459e-10,334.854323757,1.5570313263,-34665.1456762,-2.4429686737
boost,4,1,1.27652837588e-07,3.27336567195e-09,9.31322574615e-10,1.12740873735e-10,529.860618535,1.56535903181,-34470.1393815,-2.43464096819
boost,5,1,1.28470413097e-07,3.35804872293e-09,0,9.57192682986e-11,772.306509382,1.57381358758,-34227.6934906,-2.42618641242
boost,6,1,1.30719011315e-07,3.43669115595e-09,0,8.34051279805e-11,1063.46893309,1.58239694378,-33936.5310669,-2.41760305622
boost,7,1,1.33610763052e-07,3.5085994277e-09,0,7.40264765919e-11,1404.50148838,1.59111119781,-33595.4985116,-2.40888880219
boost,8,1,1.35665013735e-07,3.56929534155e-09,9.31322574615e-10,6.65256716623e-11,1796.42290021,1.59995859993,-33203.5770998,-2.40004140007
boost,9,1,1.40435340107e-07,3.62346551817e-09,0,6.04218606603e-11,2240.10532008,1.60894154988,-32759.8946799,-2.39105845012
boost,10,1,1.42698594571e-07,3.66894691428e-09,9.31322574615e-10,5.53001255685e-11,2736.26247932,1.61806258482,-32263.7375207,-2.38193741518
boost,11,1,1.4601136202e-07,3.70583960633e-09,0,5.0911959783e-11,3285.43771688,1.62732435923,-31714.5622831,-2.37267564077
boost,12,1,1.52045541246e-07,3.7351636209e-09,0,4.70877434812e-11,3887.99190955,1.63672961827,-31112.0080904,-2.36327038173
boost,13,1,1.58083648577e-07,3.76140088181e-09,9.31322574615e-10,4.37411309522e-11,4544.09134187,1.6462811665,-30455.9086581,-2.3537188335
boost,14,1,1.65370085195e-07,3.78403227835e-09,9.31322574615e-10,4.07399127721e-11,5253.69556343,1.6559818339,-29746.3044366,-2.3440181661
boost,15,1,1.73496836133e-07,3.81339332688e-09,0,3.8083309621e-11,6016.54529477,1.66583444139,-28983.4547052,-2.33416555861
boost,16,1,1.82867127771e-07,3.85491182149e-09,0,3.57117294429e-11,6832.1504574,1.67584176765,-28167.8495426,-2.32415823235
boost,17,1,1.93481319262e-07,3.91543003602e-09,9.31322574615e-10,3.357165415e-11,7699.7784195,1.68600651887,-27300.2215805,-2.31399348113
boost,18,1,2.06611222516e-07,4.00649046965e-09,0,3.16578944027e-11,8618.4425655,1.69633130257,-26381.5574345,-2.30366869743
boost,19,1,2.22026330031e-07,4.14034036238e-09,0,2.99622684634e-11,9586.89131506,1.70681860613,-25413.1086849,-2.29318139387
boost,20,1,2.3868411737e-07,4.32537774493e-09,9.31322574615e-10,2.84493551988e-11,10603.5977335,1.7174707803,-24396.4022665,-2.2825292197
boost,21,1,2.58062730854e-07,4.57356209116e-09,0,2.7128900867e-11,11666.7498921,1.7282900274,-23333.2501079,-2.2717099726
boost,22,1,2.81168814859e-07,4.8923758574e-09,0,2.59954230447e-11,12774.2421508,1.7392783935,-22225.7578492,-2.2607216065
boost,23,1,3.03872178118e-07,5.28621962994e-09,9.31322574615e-10,2.50431341742e-11,13923.6675488,1.75043776323,-21076.3324512,-2.24956223677
boost,24,1,3.32821449184e-07,5.75667897801e-09,0,2.42605334088e-11,15112.3114986,1.76176985568,-19887.6885014,-2.23823014432
boost,25,1,3.62408974402e-07,6.30402899623e-09,9.31322574615e-10,2.36579125885e-11,16337.1469826,1.77327621859,-18662.8530174,-2.22672378141
boost,26,1,3.96566175176e-07,6.92601524992e-09,9.31322574615e-10,2.32362767369e-11,17594.8314546,1.78495821716,-17405.1685454,-2.21504178284
boost,27,1,4.31769472371e-07,7.61818699316e-09,0,2.29838529974e-11,18881.7056395,1.79681701183,-16118.2943605,-2.20318298817
boost,28,1,4.71356193074e-07,8.3766992227e-09,9.31322574615e-10,2.2906105272e-11,20193.7944058,1.80885351558,-14806.2055942,-2.19114648442
boost,29,1,5.17045149873e-07,9.19666140854e-09,9.31322574615e-10,2.30031303631e-11,21526.8098504,1.82106831484,-13473.1901496,-2.17893168516
