trial,label,status,solver_success,mission_success,mission_success_slack,raw_path_ok,path_ok_slack,progress,time_s,downrange_km,ellipsoidal_altitude_km,velocity_m_s,mass_kg,x_m,y_m,z_m
1,nominal,PASS_RAW,1,1,1,1,1,0,0,0,0.00500001743436,418.310237491,4975000,-714699.243182,-5691776.87302,2778765.39479
1,nominal,PASS_RAW,1,1,1,1,1,0.00333333333333,1.99520062692,0.00149183940619,0.015380244625,419.942668317,4928711.58406,-713870.806618,-5691890.25945,2778769.90262
1,nominal,PASS_RAW,1,1,1,1,1,0.00666666666667,3.99040125385,0.00607112041761,0.0467281799265,421.948241832,4882423.26004,-713041.645922,-5692022.65031,2778783.51414
1,nominal,PASS_RAW,1,1,1,1,1,0.01,5.98560188077,0.0140270295519,0.099884691361,424.400870044,4836135.03676,-712211.54859,-5692174.83529,2778806.58902
1,nominal,PASS_RAW,1,1,1,1,1,0.0133333333333,7.98080250769,0.0256959337872,0.175162601507,427.369328454,4789846.92455,-711380.213085,-5692347.14029,2778839.25453
1,nominal,PASS_RAW,1,1,1,1,1,0.0166666666667,9.97600313462,0.0415093281917,0.272893215238,430.922872548,4743558.93542,-710547.240202,-5692539.92118,2778881.64311
1,nominal,PASS_RAW,1,1,1,1,1,0.02,11.9712037615,0.0621507984197,0.394084648109,435.146882532,4697271.08636,-709712.054994,-5692754.16847,2778934.17652
1,nominal,PASS_RAW,1,1,1,1,1,0.0233333333333,13.9664043885,0.0883653775402,0.539352352526,440.123389923,4650983.39892,-708873.978867,-5692990.53266,2778997.10243
1,nominal,PASS_RAW,1,1,1,1,1,0.0266666666667,15.9616050154,0.120974409334,0.709126815254,445.905118158,4604695.88942,-708032.236645,-5693249.51042,2779070.58502
1,nominal,PASS_RAW,1,1,1,1,1,0.03,17.9568056423,0.160961902268,0.904012129833,452.553417262,4558408.584,-707185.910591,-5693531.77436,2779154.8596
1,nominal,PASS_RAW,1,1,1,1,1,0.0333333333333,19.9520062692,0.209441904992,1.1246227708,460.123195329,4512121.5149,-706333.954724,-5693838.02366,2779250.16189
1,nominal,PASS_RAW,1,1,1,1,1,0.0366666666667,21.9472068962,0.267549788948,1.37132119625,468.658621816,4465834.72292,-705475.274032,-5694168.73635,2779356.61617
1,nominal,PASS_RAW,1,1,1,1,1,0.04,23.9424075231,0.336753799692,1.64501845691,478.226864484,4419548.27451,-704608.502129,-5694524.92219,2779474.57696
1,nominal,PASS_RAW,1,1,1,1,1,0.0433333333333,25.93760815,0.418418023856,1.94606340328,488.849980904,4373262.24142,-703732.314442,-5694907.07719,2779604.15496
1,nominal,PASS_RAW,1,1,1,1,1,0.0466666666667,27.9328087769,0.513921252223,2.27468466081,500.536696466,4326976.71654,-702845.358362,-5695315.59196,2779745.40724
1,nominal,PASS_RAW,1,1,1,1,1,0.05,29.9280094039,0.62538951792,2.63226473245,513.317711839,4280691.83987,-701945.662433,-5695751.98221,2779898.87368
1,nominal,PASS_RAW,1,1,1,1,1,0.0533333333333,31.9232100308,0.753574735339,3.0176407258,527.181101113,4234407.8176,-701032.345653,-5696215.31666,2780064.01923
1,nominal,PASS_RAW,1,1,1,1,1,0.0566666666667,33.9184106577,0.901069918859,3.43256987764,542.152925273,4188124.97008,-700103.010827,-5696707.50529,2780241.53261
1,nominal,PASS_RAW,1,1,1,1,1,0.06,35.9136112846,1.06959935638,3.87716312856,558.267852513,4141843.98014,-699155.945567,-5697228.87768,2780431.40637
1,nominal,PASS_RAW,1,1,1,1,1,0.0633333333333,37.9088119115,1.26148396175,4.35219768655,575.492830423,4095565.94844,-698188.91436,-5697780.43446,2780633.90602
1,nominal,PASS_RAW,1,1,1,1,1,0.0666666666667,39.9040125385,1.4775177676,4.85643274901,593.775681769,4049293.38863,-697200.983274,-5698361.17705,2780848.45888
1,nominal,PASS_RAW,1,1,1,1,1,0.07,41.8992131654,1.72050586245,5.39099099762,613.100058168,4003035.25877,-696189.469456,-5698972.47538,2781075.46541
1,nominal,PASS_RAW,1,1,1,1,1,0.0733333333333,43.8944137923,1.99270761231,5.95596178036,632.870769906,3957682.16974,-695152.119396,-5699614.70555,2781314.88868
1,nominal,PASS_RAW,1,1,1,1,1,0.0766666666667,45.8896144192,2.29130693632,6.54070122442,646.33294406,3923400.22734,-694090.545991,-5700277.98235,2781562.13957
1,nominal,PASS_RAW,1,1,1,1,1,0.08,47.8848150462,2.61494328306,7.13746004826,660.669915962,3888911.36678,-693005.23583,-5700955.19602,2781813.85348
1,nominal,PASS_RAW,1,1,1,1,1,0.0833333333333,49.8800156731,2.96524401432,7.74639265605,675.950947106,3854120.23062,-691894.580723,-5701646.69648,2782070.04132
1,nominal,PASS_RAW,1,1,1,1,1,0.0866666666667,51.8752163,3.34443006513,8.36793744666,692.243789776,3818957.93741,-690756.409398,-5702353.16284,2782330.8185
1,nominal,PASS_RAW,1,1,1,1,1,0.09,53.8704169269,3.7546132519,9.0024789428,709.62615155,3783344.21896,-689588.653455,-5703075.21154,2782596.27947
1,nominal,PASS_RAW,1,1,1,1,1,0.0933333333333,55.8656175539,4.19786217382,9.6504076256,728.188226417,3747185.30404,-688389.287824,-5703813.45812,2782866.52187
1,nominal,PASS_RAW,1,1,1,1,1,0.0966666666667,57.8608181808,4.67709669067,10.3124821307,748.080872553,3710344.15849,-687155.47569,-5704568.95542,2783141.77568
1,nominal,PASS_RAW,1,1,1,1,1,0.1,59.8560188077,5.19469300729,10.9893793886,769.76169419,3672283.02362,-685884.91496,-5705342.61331,2783422.25214
1,nominal,PASS_RAW,1,1,1,1,1,0.103333333333,61.8512194346,5.75716917677,11.6856969865,796.449299121,3629198.98293,-684571.602203,-5706139.38647,2783709.74695
1,nominal,PASS_RAW,1,1,1,1,1,0.106666666667,63.8464200616,6.36874788289,12.405564775,825.94103778,3583900.80589,-683211.777614,-5706963.5185,2784005.92675
1,nominal,PASS_RAW,1,1,1,1,1,0.11,65.8416206885,7.03518365654,13.151451972,857.25798887,3537629.68859,-681799.950077,-5707817.9522,2784311.67021
1,nominal,PASS_RAW,1,1,1,1,1,0.113333333333,67.8368213154,7.75965655186,13.9237781708,889.489675314,3491344.78276,-680332.965265,-5708703.45789,2784627.03604
1,nominal,PASS_RAW,1,1,1,1,1,0.116666666667,69.8320219423,8.54380796306,14.7223251169,922.608686754,3445059.94311,-678809.129275,-5709620.03052,2784951.85345
1,nominal,PASS_RAW,1,1,1,1,1,0.12,71.8272225693,9.38929268662,15.5469523245,956.598849809,3398775.18308,-677226.740666,-5710567.73342,2785285.98392
1,nominal,PASS_RAW,1,1,1,1,1,0.123333333333,73.8224231962,10.2982654016,16.3977650981,991.463436117,3352490.51026,-675583.621385,-5711546.91021,2785629.3775
1,nominal,PASS_RAW,1,1,1,1,1,0.126666666667,75.8176238231,11.2726730648,17.2748175333,1027.20616628,3306205.93091,-673877.792302,-5712557.82881,2785981.9668
