Quantity,Value,Unit,Notes
Target spherical height,420.000,km,Optimizer enforces norm(r) = R_eq + target
Effective target inclination,25.997,deg,Defaults to absolute launch latitude
Nodes in each burn,140,-,Node-based RK4 direct transcription grid
Booster burn time,153.153,s,Optimized
Ship burn time,445.407,s,Optimized
Final mass,3.163e+05,kg,Optimizer result
Propellant margin,2.163e+05,kg,Final mass above dry+payload
Final spherical-height error,-1.655,m,Forward replay against the optimizer target
Final ellipsoidal altitude,423.386,km,Ground-referenced diagnostic only
Final velocity error,4.993e-03,m/s,Forward replay
Final radial velocity,-3.444e-03,m/s,Forward replay
Inclination error,2.4024e-08,deg,Forward replay
Max dynamic pressure,34.831,kPa,Forward replay
Max g-load,3.969,g,Forward replay
Solver return status,Solve_Succeeded,-,CasADi/IPOPT
Solver iterations,46,-,CasADi/IPOPT
