run,final_altitude_km,final_velocity_m_s,success
1,340.69374530083684,7438.275960967956,0
2,323.35608179122676,7385.680397783373,0
3,303.6158734941175,7333.650788681542,0
4,383.69809981755725,7554.931886596205,0
5,354.6151326761581,7475.871082083361,0
6,520.0809603593657,7944.6012634346225,0
7,465.86594213218706,7795.915044474888,0
8,246.23631213189475,7197.347914148756,0
9,405.8771260915259,7624.471973815306,0
10,302.5613454701118,7335.665125691207,0
11,527.1779488279642,7966.744019920794,0
12,520.4141911204625,7958.307395500099,0
13,233.35642153157013,7155.325041906972,0
14,463.0230431614295,7785.397894654469,0
15,297.26465970483326,7327.163040955987,0
16,442.2623170079654,7728.673113115367,0
17,412.3861181215234,7634.066410061126,0
18,437.90061678127853,7702.127174968047,0
19,614.8831643687822,8265.511702567952,0
20,495.1621470106803,7884.346880308655,0
21,520.3155540033541,7962.324079835733,0
22,474.99994339655154,7823.493070540746,0
23,399.16528903711867,7596.4303444608395,0
24,281.44898581080696,7276.643948211503,0
25,356.4164475171715,7478.209325280517,0
26,443.41300783718845,7732.864839186616,0
27,366.7769664454078,7509.10723257427,0
28,435.1051771681141,7696.998064553438,0
29,397.68991314681244,7594.353850277284,0
30,478.43608919098136,7827.809431294479,0
31,381.3724647933552,7542.142411265748,0
32,395.43601995940134,7588.096757690637,0
33,460.4013404959971,7772.470233385975,0
34,454.9132190175354,7759.374289197151,0
35,360.2423033839734,7484.936346359377,0
36,361.5983434022283,7502.758216917788,0
37,410.2067119485298,7624.2072452311295,0
38,514.9856902385112,7932.688569918492,0
39,284.56287239195314,7278.859770343788,0
40,469.2982001921106,7814.665264581581,0
41,369.40409442618954,7519.814104953287,0
42,347.35584903620554,7450.785671027708,0
43,590.5603737675128,8167.011466744026,0
44,454.25136855299957,7760.440329599362,0
45,452.59208666927555,7750.187902768347,0
46,435.26718165016734,7686.001066122755,0
47,442.10673545984645,7726.403341158854,0
48,248.96295160182007,7190.40893355231,0
49,307.06060390342867,7342.882186664654,0
50,390.6298973522922,7567.749300725145,0
51,413.554131335374,7648.716835962647,1
52,237.7477091719024,7162.352640128343,0
53,412.2294250198258,7625.905071613936,0
54,351.9825624317769,7475.298755632794,0
55,307.02350635342395,7350.738119385634,0
56,625.2384799186932,8299.177277525818,0
57,458.58464178494273,7767.0399183044465,0
58,464.4032916420437,7795.271427002795,0
59,545.5938849447547,8017.143790512419,0
60,397.73748004920037,7593.933143549582,0
61,415.4779626957951,7639.046012038821,1
62,421.34303933927043,7659.40117138614,1
63,220.7690851260731,7125.58856016695,0
64,493.3451504686568,7863.783292884416,0
65,370.9254967930429,7523.941825482045,0
66,602.3208720827802,8229.949290077739,0
67,426.251473360897,7673.417094395554,1
68,429.8242866839329,7675.708800605971,1
69,461.6695418213904,7779.042386228025,0
70,357.16079908105917,7486.394678879263,0
71,410.47928868359327,7633.736493213374,0
72,352.854001584583,7470.185062030867,0
73,358.5361328223208,7477.164232806099,0
74,377.3917070035115,7536.6347642916735,0
75,502.4379316723682,7910.453823609452,0
76,501.3065313438065,7903.9715935346185,0
77,475.0253539402401,7821.194596883001,0
78,338.7357775469217,7428.729886886217,0
79,249.8621983483024,7189.9627076058605,0
80,498.52395119576903,7894.7866643613825,0
81,448.81452213125397,7744.483406378573,0
82,362.0437844592538,7499.83496580019,0
83,452.85202138854095,7748.398141909214,0
84,390.61666329064406,7575.211720606115,0
85,317.5587322552651,7373.3239269906535,0
86,376.83081676518174,7531.0894863644435,0
87,216.53304802788142,7113.284262406027,0
88,326.62471318008096,7392.787153437433,0
89,451.2381256963303,7742.390531433296,0
90,482.5142399478359,7837.877249701607,0
91,394.75255742815045,7589.367205823216,0
92,451.0355035973229,7751.638525476543,0
93,307.66220626259036,7343.419867021544,0
94,412.96611705736444,7626.466725034381,0
95,365.3634299740763,7499.571846885852,0
96,348.0355898768576,7461.189577316724,0
97,505.90097569249014,7908.308766764836,0
98,398.08119145974985,7593.319525082175,0
99,426.1793303983258,7671.959690723931,1
100,371.4344992974419,7522.833633403535,0
101,502.55862093778325,7916.034206284978,0
102,398.34366621255225,7591.678549250884,0
103,453.1275325807119,7753.964049298818,0
104,387.8638345587244,7558.780580992576,0
105,251.64076969247031,7204.157425162709,0
106,315.15138781727853,7367.066106656516,0
107,406.84137991973665,7616.211732906321,0
108,227.9755732708089,7147.785644700118,0
109,526.8034727468304,7988.128083385986,0
110,389.493267268721,7566.010246747738,0
111,426.80829384905564,7676.331308327316,1
112,578.4200328776399,8135.416947804989,0
113,430.53409607202,7688.051439724471,0
