run,final_altitude_km,final_velocity_m_s,fuel_margin_kg,orbit_ok,fuel_ok,strict_success,status
1,340.552184253552,7438.391557992341,231428.48162858206,0,1,0,MISS
2,323.1813471876616,7385.815095381208,241499.49627346685,0,1,0,MISS
3,303.4048692298876,7333.814370536787,247013.38441340375,0,1,0,MISS
4,383.63403157800997,7554.98518516557,222117.55114656006,0,1,0,MISS
5,354.49515709747004,7475.958409812464,231196.79782225925,0,1,0,MISS
6,520.2564901347868,7944.4811302380795,199425.4625527354,0,1,0,MISS
7,465.94722728735115,7795.86427005205,202986.832961154,0,1,0,MISS
8,245.91713864202518,7197.618878348826,246815.4515237313,0,1,0,MISS
9,405.8511724918103,7624.494833896881,214081.1844252107,0,1,0,MISS
10,302.34942131909634,7335.838014365875,239975.42439057596,0,1,0,MISS
11,527.3659043808933,7966.626851506687,194643.35571060667,0,1,0,MISS
12,520.5901619497472,7958.190661199095,195830.6447675182,0,1,0,MISS
13,233.01280305606872,7155.601400183989,264573.53413719404,0,1,0,MISS
14,463.0996317517161,7785.349046434863,203395.52214315988,0,1,0,MISS
15,297.0404202806428,7327.343942373386,238536.03540298942,0,1,0,MISS
16,442.2998891008757,7728.650299460839,207033.05372567067,0,1,0,MISS
17,412.370710609775,7634.073967378506,220109.80766064354,0,1,0,MISS
18,437.9331076582437,7702.108912683171,213592.4249425865,0,1,0,MISS
19,615.2249592676377,8265.315756768741,169044.49187047035,0,1,0,MISS
20,495.29387360979433,7884.259066016617,198674.90054681402,0,1,0,MISS
21,520.4924670308595,7962.2152660573365,189562.92566809687,0,1,0,MISS
22,475.09518204738293,7823.429458381069,202271.81942209287,0,1,0,MISS
23,399.1259414124573,7596.455337890131,222844.19527601346,0,1,0,MISS
24,281.19719887413646,7276.84648503554,250611.0212968904,0,1,0,MISS
25,356.301534176412,7478.298727111986,231059.53590268828,0,1,0,MISS
26,443.4527785223173,7732.837045403062,206539.09489488916,0,1,0,MISS
27,366.6801570792804,7509.179380779453,228187.79039609584,0,1,0,MISS
28,435.13031459624693,7696.977015659082,216083.35327234055,0,1,0,MISS
29,397.6511418730421,7594.389012320044,218643.59860112728,0,1,0,MISS
30,478.5381803351929,7827.738576488274,203349.19245436165,0,1,0,MISS
31,381.3031350497091,7542.191366722768,229378.16764831683,0,1,0,MISS
32,395.38847762659657,7588.126178665076,224359.77680561715,0,1,0,MISS
33,460.4725288431458,7772.423554917979,207772.02772622718,0,1,0,MISS
34,454.97523035515474,7759.3328173654545,207031.04392812192,0,1,0,MISS
35,360.13283456886467,7485.012936200644,234908.81873466697,0,1,0,MISS
36,361.48822184868715,7502.833203643512,226981.12371972756,0,1,0,MISS
37,410.186932965016,7624.214809806242,223924.6408377802,0,1,0,MISS
38,515.1524965279577,7932.5745467884835,199053.9599389637,0,1,0,MISS
39,284.3176821840415,7279.0519156106775,256566.80161551456,0,1,0,MISS
40,469.3848401633995,7814.610857008697,199055.61866053013,0,1,0,MISS
41,369.31314539615624,7519.884676330662,223992.86460150412,0,1,0,MISS
42,347.22282422825134,7450.88241961533,237113.46533880068,0,1,0,MISS
43,590.8594120743778,8166.830485121301,181601.6626143147,0,1,0,MISS
44,454.30928551086316,7760.397239775924,207866.0832089198,0,1,0,MISS
45,452.6479844009299,7750.147268695513,210182.67323918897,0,1,0,MISS
46,435.29286579932364,7685.975223566373,223459.3317728066,0,1,0,MISS
47,442.1441729178615,7726.377210021032,209414.06977602525,0,1,0,MISS
48,248.6546219223272,7190.667828076454,259721.8498452963,0,1,0,MISS
49,306.8498250850076,7343.0280368621015,251871.37438064185,0,1,0,MISS
50,390.5744652521238,7567.780484316554,229817.7204260442,0,1,0,MISS
51,413.53952069541907,7648.7259645535305,212641.40786948067,1,1,1,PASS
52,237.4194598240219,7162.631581105121,262009.9121307392,0,1,0,MISS
53,412.2116590229887,7625.90551810228,227347.78812602622,0,1,0,MISS
54,351.8605606957125,7475.400607189498,224090.3327257125,0,1,0,MISS
55,306.81759508502296,7350.900013897466,239187.62785199593,0,1,0,MISS
56,625.5982910877606,8298.968331821843,167233.32473849814,0,1,0,MISS
57,458.6520783141609,7766.997261721292,207335.47330776707,0,1,0,MISS
58,464.47924272554275,7795.217532633862,203848.93902725185,0,1,0,MISS
59,545.81281144867,8016.999507975839,195711.95338795206,0,1,0,MISS
60,397.694303961169,7593.958672864308,223460.03629139112,0,1,0,MISS
61,415.4700115776891,7639.052586460922,220000.45433304808,1,1,1,PASS
62,421.3437249892103,7659.398729685685,217641.46413854667,1,1,1,PASS
63,220.400627519154,7125.886248670777,267318.4815124653,0,1,0,MISS
64,493.47461936284697,7863.694834648305,204088.47436050966,0,1,0,MISS
65,370.8344428108167,7524.008353315304,225632.05864557688,0,1,0,MISS
66,602.6410656281383,8229.761824496904,170171.1993273885,0,1,0,MISS
67,426.26427521968355,7673.413681910727,213515.65393775684,1,1,1,PASS
68,429.83889960717784,7675.689701463739,222463.13261462632,1,1,1,PASS
69,461.7427233848441,7778.994696675923,205220.4164360027,0,1,0,MISS
70,357.0491397746997,7486.487786894487,225058.58121870714,0,1,0,MISS
71,410.4600450832434,7633.752261373591,216682.35514401487,0,1,0,MISS
72,352.7364616582086,7470.285818734817,226630.84180606896,0,1,0,MISS
73,358.4231138821933,7477.2407997806185,238523.80346013868,0,1,0,MISS
74,377.3114451731965,7536.685264710173,228884.57448085555,0,1,0,MISS
75,502.58264885333926,7910.358762758128,194365.4851330815,0,1,0,MISS
76,501.45095277683345,7903.878671190425,194404.63437640294,0,1,0,MISS
77,475.1210591213703,7821.127158615867,203873.62586528622,0,1,0,MISS
78,338.5898859269051,7428.846009292286,234943.27694799798,0,1,0,MISS
79,249.55897368701642,7190.2240337771955,258915.83766785817,0,1,0,MISS
80,498.6625372714419,7894.702228440024,194330.75035862305,0,1,0,MISS
81,448.8637318885224,7744.449765592899,208369.08554773766,0,1,0,MISS
82,361.93839921063557,7499.918135292587,225464.55516523612,0,1,0,MISS
83,452.9104911897201,7748.360219870504,209641.15713417617,0,1,0,MISS
84,390.5620235294253,7575.2513432500855,222801.0557698274,0,1,0,MISS
85,317.3767360888934,7373.47497428448,237211.47574116895,0,1,0,MISS
86,376.75255196363014,7531.145138100255,229492.31217489985,0,1,0,MISS
87,216.15991145637165,7113.593781743218,267927.5172693317,0,1,0,MISS
88,326.45352841283847,7392.911170176403,244852.8894736062,0,1,0,MISS
89,451.29082043233046,7742.34493218672,214295.1093428253,0,1,0,MISS
90,482.6243620920442,7837.802561129353,202297.87100981368,0,1,0,MISS
91,394.7059132236475,7589.401744218877,220097.49221386213,0,1,0,MISS
92,451.08783253578656,7751.602423333826,207361.60267706233,0,1,0,MISS
93,307.4576024817247,7343.575485212173,247143.32618282462,0,1,0,MISS
94,412.9541524526365,7626.472406018123,224141.64329675044,0,1,0,MISS
95,365.2619487471599,7499.63730064773,234124.78531071724,0,1,0,MISS
96,347.9006558593987,7461.282507598835,232839.2132003978,0,1,0,MISS
97,506.05326901097783,7908.213369476882,196821.94614433602,0,1,0,MISS
98,398.0394579935037,7593.344913149882,223869.831208335,0,1,0,MISS
99,426.1898760633254,7671.955116816302,215949.59578636196,1,1,1,PASS
100,371.34300868346264,7522.893152199863,228791.69915764505,0,1,0,MISS
101,502.7056108420361,7915.944538680304,190481.08281369292,0,1,0,MISS
102,398.3072458408801,7591.711690199674,221331.38887238578,0,1,0,MISS
103,453.184996949289,7753.922172383007,208612.33582323988,0,1,0,MISS
104,387.8045241686692,7558.818613674809,229771.13992959948,0,1,0,MISS
105,251.32935975211393,7204.402720111323,258139.9010880029,0,1,0,MISS
106,314.9627300354783,7367.217758923295,239683.7145780911,0,1,0,MISS
107,406.81852261976525,7616.233138112472,220160.92270308925,0,1,0,MISS
108,227.62327185762393,7148.08493733476,255610.62813758146,0,1,0,MISS
109,526.9921374480715,7988.015620228549,185044.3199009028,0,1,0,MISS
110,389.43941524279956,7566.053188763202,224860.4002772023,0,1,0,MISS
111,426.818963202673,7676.322727643696,215620.124055981,1,1,1,PASS
112,578.6971030893446,8135.2493612223925,179833.75183100614,0,1,0,MISS
113,430.5513580539646,7688.039215202311,213655.98221016244,0,1,0,MISS
114,445.32881232094115,7737.6149713396,208445.4546581832,0,1,0,MISS
115,373.53578037058,7519.5248236392545,230240.91985103366,0,1,0,MISS
116,464.04752760108,7791.151438868645,202162.76245370787,0,1,0,MISS
117,280.50708128080424,7277.179017419725,245928.4129374739,0,1,0,MISS
118,234.5397482736483,7156.850951598151,265073.39199767,0,1,0,MISS
119,604.1297999802558,8222.000454918178,176994.98805535142,0,1,0,MISS
120,394.68096587884423,7579.574527066353,223719.62305329175,0,1,0,MISS
121,523.7893637762805,7974.890794351277,189048.85437680682,0,1,0,MISS
122,234.47590777015873,7160.005543215609,255631.0939998001,0,1,0,MISS
123,397.7201053501973,7589.528663160783,221494.40074693068,0,1,0,MISS
124,425.667374400395,7681.974974722562,208788.474775174,0,1,0,MISS
125,344.61892351305204,7451.062302802447,233096.07874565286,0,1,0,MISS
126,462.89568086112104,7769.264990602844,214436.2512624364,0,1,0,MISS
127,440.623978181703,7719.608786967729,210173.57758541784,0,1,0,MISS
128,570.1618648957182,8112.422906251338,182376.40113568027,0,1,0,MISS
129,344.49804902196115,7449.253977006617,234215.70371046354,0,1,0,MISS
130,360.68929566384946,7493.02297437509,227866.30939756834,0,1,0,MISS
131,354.8918713891851,7477.2914604137195,227952.20405447372,0,1,0,MISS
132,487.4666064298982,7865.635170493109,196122.85648592102,0,1,0,MISS
133,327.8161089993622,7404.273059309851,239918.4240339218,0,1,0,MISS
134,454.6823930829242,7757.24242278466,208916.59188652935,0,1,0,MISS
135,346.3141157320058,7445.500556947671,232994.52428896562,0,1,0,MISS
136,468.84147145643084,7814.256590295985,197205.2684491204,0,1,0,MISS
137,465.00371937265714,7788.306024323294,207805.69805488188,0,1,0,MISS
138,453.9222532274844,7760.582420866735,204860.98752282193,0,1,0,MISS
139,427.4218207982462,7673.526740045364,218465.96531572397,1,1,1,PASS
140,500.97519728689736,7886.873982954925,201479.29415462643,0,1,0,MISS
141,474.7908014392294,7820.620693270338,203442.18582514336,0,1,0,MISS
142,381.89132729726845,7541.7770717989615,230340.899682154,0,1,0,MISS
143,567.0285959204817,8102.585670107955,183201.65361292072,0,1,0,MISS
144,385.491167644511,7561.371426351483,222674.65704600705,0,1,0,MISS
145,353.30741111168174,7462.423319442155,236392.28195665247,0,1,0,MISS
146,521.4500759235658,7953.453393106392,195885.26856562129,0,1,0,MISS
147,371.9607254845649,7524.187486648422,227110.24886283744,0,1,0,MISS
148,437.72254211271553,7700.7438040506095,218890.19047520182,0,1,0,MISS
149,460.4449282552833,7765.039543050727,214279.4413047008,0,1,0,MISS
150,554.8581765642874,8064.141895705772,185086.869206129,0,1,0,MISS
151,344.3538430486368,7449.5673823149145,234174.65700628486,0,1,0,MISS
