time_s,specific_energy_J_per_kg,angular_momentum_m2_s,rel_energy_drift,rel_h_drift
0.0,-29316889.316224817,52055165815.56066,0.0,0.0
0.012759245805812324,-29316889.31622482,52055165815.56066,1.2706976713249828e-16,0.0
0.14035170386393558,-29316889.316224825,52055165815.56066,2.5413953426499656e-16,0.0
1.4162762844451682,-29316889.31622482,52055165815.56066,1.2706976713249828e-16,0.0
14.175522090257495,-29316889.31622468,52055165815.5608,4.7015813839024364e-15,2.6381455021981452e-15
43.98721904093033,-29316889.316202197,52055165815.58076,7.715676260285295e-13,3.8604862515499526e-13
74.54277511850427,-29316889.316176172,52055165815.60385,1.6592770192161624e-12,8.296967604413166e-13
105.77605074059782,-29316889.316146545,52055165815.63016,2.669862877220921e-12,1.3350481877512725e-12
137.63564371534676,-29316889.31611322,52055165815.65974,3.806629013988251e-12,1.9032754161969506e-12
170.07030333636084,-29316889.316076186,52055165815.69262,5.0698295690524165e-12,2.5349647003343957e-12
203.02644385616216,-29316889.316035498,52055165815.72875,6.4576855656735624e-12,3.2290900946905296e-12
236.44602591254457,-29316889.315991297,52055165815.76799,7.965368352700654e-12,3.982866890124144e-12
270.26491796203794,-29316889.31594389,52055165815.810074,9.582458209228828e-12,4.791311922908865e-12
304.4119627861056,-29316889.31589371,52055165815.85464,1.129408797250358e-11,5.6473901383721625e-12
338.8090014062988,-29316889.31584133,52055165815.90114,1.3080815968153638e-11,6.540695518144257e-12
373.37202363715215,-29316889.31578742,52055165815.94899,1.491964256832802e-11,7.4599426620213e-12
408.0134050643375,-29316889.315732785,52055165815.99748,1.678324777309324e-11,8.391501151575267e-12
442.6449087491168,-29316889.31567826,52055165816.045906,1.8643040884844485e-11,9.321740568378135e-12
477.1808985622488,-29316889.315624624,52055165816.09352,2.0472591392018193e-11,1.0236444239445837e-11
511.54114541772594,-29316889.31557255,52055165816.13975,2.2248899666763387e-11,1.1124473328213535e-11
545.6527489906165,-29316889.315522682,52055165816.18403,2.3949855569599008e-11,1.1975128689033425e-11
579.4509648530677,-29316889.315475445,52055165816.22597,2.556110021683909e-11,1.2780789012676937e-11
612.8789956046928,-29316889.315431185,52055165816.26526,2.70708161201403e-11,1.3535591753583628e-11
645.8869719460631,-29316889.3153901,52055165816.301735,2.8472268581844624e-11,1.4236312511695258e-11
678.4303950065644,-29316889.31535232,52055165816.335266,2.976088309033529e-11,1.488045970514864e-11
710.4682636158924,-29316889.315317877,52055165816.365845,3.093577015724237e-11,1.546788677030476e-11
741.9610155440351,-29316889.315286756,52055165816.39347,3.1997310991867255e-11,1.599859370716362e-11
772.8683058906768,-29316889.31525891,52055165816.4182,3.2947157501182685e-11,1.6473606461198295e-11
803.1465357197745,-29316889.315234255,52055165816.440094,3.378810522006556e-11,1.6894244105159888e-11
832.7459192324617,-29316889.315212697,52055165816.45923,3.452345796246132e-11,1.7261825711799496e-11
861.6067063416239,-29316889.315194137,52055165816.4757,3.515651954231543e-11,1.7578256608424263e-11
889.6538787039883,-29316889.31517847,52055165816.48961,3.569097498287472e-11,1.784544212234133e-11
916.789056333617,-29316889.31516561,52055165816.50104,3.61296198190161e-11,1.806499445357982e-11
942.8770652917768,-29316889.315155413,52055165816.510086,3.647740977165775e-11,1.8238818929446877e-11
967.7213698048063,-29316889.315147795,52055165816.516846,3.6737267445443707e-11,1.836867431361063e-11
991.0126811153256,-29316889.3151426,52055165816.52146,3.691440270082641e-11,1.845734531521229e-11
1008.7182163358096,-29316889.315141596,52055165816.522354,3.6948711537952186e-11,1.8474493260976576e-11
1026.4234927824803,-29316889.31514058,52055165816.52325,3.6983401584379357e-11,1.8491641206740866e-11
1044.9423969637783,-29316889.315139264,52055165816.52442,3.702825721217713e-11,1.851421200714856e-11
1065.9958432304404,-29316889.315136414,52055165816.52695,3.7125465584033493e-11,1.8562724571661204e-11
1088.7431114879278,-29316889.315131918,52055165816.53095,3.727883879296241e-11,1.8639670482141985e-11
1112.5069351464522,-29316889.31512607,52055165816.53613,3.7478338327360436e-11,1.8739187193030458e-11
1136.5829432083744,-29316889.315119743,52055165816.541756,3.769410279195142e-11,1.884720459498157e-11
1160.1956170527114,-29316889.315114103,52055165816.54676,3.7886486419390024e-11,1.8943350342172792e-11
1179.7288779218507,-29316889.315112285,52055165816.54838,3.794849646575068e-11,1.8974421833643125e-11
1198.6423757435027,-29316889.315110788,52055165816.549706,3.799957851213795e-11,1.8999923906831042e-11
1215.2998145533825,-29316889.315110087,52055165816.55032,3.8023467628358853e-11,1.9011795561590935e-11
1231.0920290213296,-29316889.31510958,52055165816.55078,3.8040749116688874e-11,1.9020589379931594e-11
1250.4079457194891,-29316889.315107875,52055165816.5523,3.809894707003556e-11,1.9049755544094784e-11
1272.006417889111,-29316889.315104563,52055165816.55523,3.821191209301635e-11,1.910603598147501e-11
1295.3075453148524,-29316889.31509936,52055165816.55985,3.838942855770045e-11,1.9194853546715682e-11
1319.977014779712,-29316889.315092046,52055165816.56634,3.8638866510581543e-11,1.931943263987504e-11
1345.7987758924967,-29316889.315082457,52055165816.57485,3.89659440911806e-11,1.9482997661011325e-11
1372.623022160294,-29316889.315070443,52055165816.58552,3.9375744090182904e-11,1.9687893628348715e-11
1400.3407206895663,-29316889.315055832,52055165816.59849,3.987411171687656e-11,1.9937051814667426e-11
1428.8695262195374,-29316889.315038517,52055165816.61387,4.046473199450841e-11,2.0232524110913618e-11
1458.1452754594995,-29316889.315018307,52055165816.6318,4.1154085481202215e-11,2.0576948662589488e-11
1488.116473921915,-29316889.314995114,52055165816.652405,4.194522185136915e-11,2.097281705155822e-11
1518.740479682743,-29316889.31496874,52055165816.67581,4.284487580266724e-11,2.1422474296043995e-11
1549.9806711589808,-29316889.314939067,52055165816.702156,4.3856986497877584e-11,2.1928558541549005e-11
1581.8041769697738,-29316889.314905964,52055165816.73155,4.4986128448616964e-11,2.249326824265842e-11
1614.1799015081278,-29316889.31486933,52055165816.76408,4.6235732538597955e-11,2.3118069035762346e-11
1647.07667275869,-29316889.314829048,52055165816.79983,4.760973793060166e-11,2.380486624816793e-11
1680.4614046544157,-29316889.31478513,52055165816.83882,4.910776341532668e-11,2.4553953007153192e-11
1714.2972302192,-29316889.314737584,52055165816.881035,5.0729554853238757e-11,2.53648896218011e-11
1748.54163491105,-29316889.31468655,52055165816.92634,5.247028359318685e-11,2.6235184510248464e-11
1783.1447122604336,-29316889.314632274,52055165816.97452,5.432169010030735e-11,2.7160733890602983e-11
1818.0477688775713,-29316889.314575173,52055165817.025215,5.6269415490914286e-11,2.813464927183113e-11
1853.1825961128814,-29316889.314515807,52055165817.07793,5.829439929993777e-11,2.914725745375819e-11
1888.4717434957054,-29316889.314454883,52055165817.13201,6.037249827162266e-11,3.0186247090707223e-11
1923.8300182551907,-29316889.314393256,52055165817.18673,6.247461342929557e-11,3.123740150969417e-11
1959.167170114512,-29316889.314331837,52055165817.24126,6.456961268000908e-11,3.228489183770584e-11
1994.3913699129803,-29316889.31427157,52055165817.29475,6.662534737267863e-11,3.331244951081202e-11
2029.4128040533024,-29316889.314213324,52055165817.34647,6.861208318179524e-11,3.430615098330666e-11
2064.1466355907346,-29316889.314157832,52055165817.39573,7.050491443300093e-11,3.5252365836761726e-11
2098.514765577154,-29316889.314105712,52055165817.44201,7.228274754495172e-11,3.61414208710025e-11
2132.446147362466,-29316889.314057358,52055165817.48494,7.393211312233154e-11,3.6966134467717445e-11
2165.875684719134,-29316889.31401309,52055165817.52425,7.544208316516702e-11,3.7721230335902155e-11
2198.7418552713502,-29316889.313973032,52055165817.5598,7.680846437114278e-11,3.840421689369345e-11
2230.9830782085623,-29316889.313937288,52055165817.59153,7.80276987867791e-11,3.901377506834024e-11
2262.532460667778,-29316889.31390584,52055165817.61945,7.910042176091164e-11,3.9550197987120526e-11
2293.3097281503588,-29316889.313878678,52055165817.64357,8.002688743307469e-11,4.001348565003432e-11
2323.207293605263,-29316889.3138558,52055165817.66388,8.080722287303536e-11,4.0403638057081625e-11
