n,p_orbit_fail,p_fuel_fail,p_q_violate,p_g_violate,p_any_failure
1,1.0,0.0,0.0,0.0,1.0
2,1.0,0.0,0.5,0.0,1.0
3,1.0,0.0,0.6666666666666666,0.3333333333333333,1.0
4,1.0,0.0,0.5,0.5,1.0
5,1.0,0.0,0.4,0.4,1.0
6,1.0,0.0,0.3333333333333333,0.5,1.0
7,1.0,0.0,0.2857142857142857,0.42857142857142855,1.0
8,1.0,0.0,0.375,0.5,1.0
9,1.0,0.0,0.4444444444444444,0.5555555555555556,1.0
10,1.0,0.0,0.5,0.6,1.0
11,1.0,0.0,0.45454545454545453,0.5454545454545454,1.0
12,1.0,0.0,0.5,0.5,1.0
13,1.0,0.0,0.5384615384615384,0.46153846153846156,1.0
14,1.0,0.0,0.5714285714285714,0.42857142857142855,1.0
15,1.0,0.0,0.6,0.4666666666666667,1.0
16,1.0,0.0,0.625,0.4375,1.0
17,1.0,0.0,0.5882352941176471,0.4117647058823529,1.0
18,1.0,0.0,0.6111111111111112,0.4444444444444444,1.0
19,1.0,0.0,0.631578947368421,0.47368421052631576,1.0
20,1.0,0.0,0.65,0.5,1.0
21,1.0,0.0,0.6666666666666666,0.47619047619047616,1.0
22,1.0,0.0,0.6818181818181818,0.45454545454545453,1.0
23,1.0,0.0,0.6956521739130435,0.4782608695652174,1.0
24,1.0,0.0,0.6666666666666666,0.5,1.0
25,1.0,0.0,0.68,0.52,1.0
26,1.0,0.0,0.6538461538461539,0.5384615384615384,1.0
27,1.0,0.0,0.6666666666666666,0.5555555555555556,1.0
28,1.0,0.0,0.6785714285714286,0.5357142857142857,1.0
29,1.0,0.0,0.6896551724137931,0.5172413793103449,1.0
30,0.9666666666666667,0.0,0.6666666666666666,0.5,0.9666666666666667
31,0.967741935483871,0.0,0.6774193548387096,0.4838709677419355,0.967741935483871
32,0.96875,0.0,0.6875,0.46875,0.96875
33,0.9696969696969697,0.0,0.696969696969697,0.45454545454545453,0.9696969696969697
34,0.9705882352941176,0.0,0.7058823529411765,0.47058823529411764,0.9705882352941176
35,0.9714285714285714,0.0,0.6857142857142857,0.4857142857142857,0.9714285714285714
36,0.9722222222222222,0.0,0.6666666666666666,0.4722222222222222,0.9722222222222222
37,0.972972972972973,0.0,0.6486486486486487,0.4864864864864865,0.972972972972973
38,0.9736842105263158,0.0,0.631578947368421,0.5,0.9736842105263158
39,0.9743589743589743,0.0,0.6410256410256411,0.5128205128205128,0.9743589743589743
40,0.975,0.0,0.625,0.5,0.975
41,0.975609756097561,0.0,0.6097560975609756,0.4878048780487805,0.975609756097561
42,0.9761904761904762,0.0,0.5952380952380952,0.47619047619047616,0.9761904761904762
43,0.9767441860465116,0.0,0.6046511627906976,0.46511627906976744,0.9767441860465116
