run,thrust_multiplier,isp_multiplier,density_multiplier,terminal_valid,orbit_ok,fuel_ok,fuel_margin_kg,trajectory_valid,max_q_pa,max_g,orbit_fail,fuel_fail,q_violation,g_violation,any_failure
1,0.9758706748248491,0.9861975746413407,0.9573071011863948,1,0,1,226695.2204789017,1,33652.24592239609,3.8410036354660706,1,0,0,0,1
2,0.9794695757315328,1.0073445061680966,0.9769160020068769,1,0,1,243613.49527152727,1,35488.41360609986,3.75865796440494,1,0,1,0,1
3,1.0113913725336727,1.0051602384951501,1.0075821157494347,1,0,1,210298.0135280069,1,36053.45690275498,4.097944949238324,1,0,1,1,1
4,1.0172850933861792,1.0003276984680967,0.916509788556531,1,0,1,199721.74830932147,1,33779.96927713863,4.220569985411259,1,0,0,1,1
5,0.9843544973304413,0.9947573521857067,0.9817866735174692,1,0,1,226681.70249959145,1,34654.66891930989,3.8747274359307298,1,0,0,0,1
6,1.019373818077004,1.0194039898853262,0.8576920628499818,1,0,1,216424.76051460212,1,30603.19994754483,4.0773299818093705,1,0,0,1,1
7,0.9613310594295297,1.0021656353272244,0.8841618212881839,1,0,1,256473.7805111166,1,32768.7082514845,3.6191127815810358,1,0,0,0,1
8,1.0224824719722787,1.0124095771250552,1.0338200141961331,1,0,1,206609.26618862624,1,37594.75967851353,4.176569856542465,1,0,1,1,1
9,1.0203895049051157,0.9920867950247304,0.9504758221247722,1,0,1,188334.78117190965,1,35929.60782788441,4.346229433757875,1,0,1,1,1
10,1.041304117629189,0.9995250161842276,0.9727195013949884,1,0,1,175282.034497748,1,38299.13515471875,4.575023823745904,1,0,1,1,1
11,0.9838597633350965,0.9891167143928866,0.9052321924223711,1,0,1,221623.19487119006,1,31711.665016705676,3.903008283787805,1,0,0,0,1
12,0.9637607675728257,0.9993334109972976,1.0895875011018934,1,0,1,251408.24800420093,1,39872.833800645785,3.6535909336346446,1,0,1,0,1
13,1.000189492490001,1.0096334957438478,1.077669209486755,1,0,1,225596.09087715158,1,38237.52276771577,3.9437485601740363,1,0,1,0,1
14,0.9781114591187902,0.9975258210524957,1.0228723785107583,1,0,1,235538.9510984691,1,36538.96441838788,3.798596581925395,1,0,1,0,1
15,1.0211099884307717,1.0049431263675495,1.0109145356795128,1,0,1,200572.02020328958,1,37226.90205222978,4.228238389936424,1,0,1,1,1
16,0.9927908878575543,1.0016422232650355,1.0079813089480718,1,0,1,225087.50377630274,1,35627.739133342846,3.917630470488966,1,0,1,0,1
17,0.9861978738938183,1.0117209857877352,0.7867006591446422,1,0,1,241209.33811957773,1,28604.231932432514,3.799696953595964,1,0,0,0,1
18,1.0416835767922368,0.9906532037138328,1.027360783877858,1,0,1,165728.2633873439,1,41131.54222131315,4.684668120134233,1,0,1,1,1
19,1.012017503376844,1.0085606138363332,1.1216494266768018,1,0,1,213024.14544661168,1,39813.097086668065,4.076166681428832,1,0,1,1,1
20,1.005829596350358,0.988266309138072,1.0417444687558768,1,0,1,198915.1247412935,1,38028.063001547765,4.180673123980825,1,0,1,1,1
