thrust_multiplier,density_multiplier,strict_success,fuel_margin_kg,altitude_error_m,velocity_error_m_s,status
0.94,0.8,0,275411.773355,-252882.508797,-666.727383804,MISS
0.952,0.8,0,263608.538406,-203120.275314,-547.163282364,MISS
0.964,0.8,0,251805.301026,-152852.022177,-421.006740857,MISS
0.976,0.8,0,240002.168891,-101929.157522,-287.860724523,MISS
0.988,0.8,0,228198.89783,-50220.6576439,-147.320455414,MISS
1,0.8,1,216395.569248,2392.64361206,1.02833161312,PASS
1.012,0.8,0,204592.320935,56021.9295763,157.627797069,MISS
1.024,0.8,0,192789.064241,110767.238836,322.954565692,MISS
1.036,0.8,0,180985.672334,166726.497136,497.536068222,MISS
1.048,0.8,0,169182.486143,224003.230238,681.936570378,MISS
1.06,0.8,0,157379.236999,282701.899536,876.810081098,MISS
0.94,0.84,0,275411.787034,-253744.397157,-667.237997347,MISS
0.952,0.84,0,263608.555962,-203860.548003,-547.572681387,MISS
0.964,0.84,0,251805.337076,-153497.679216,-421.340638305,MISS
0.976,0.84,0,240002.004565,-102502.027901,-288.136407326,MISS
0.988,0.84,0,228198.753167,-50738.404327,-147.553663769,MISS
1,0.84,1,216395.480942,1917.00000738,0.826971024603,PASS
1.012,0.84,0,204592.214719,55575.8337221,157.448409158,MISS
1.024,0.84,0,192788.995161,110341.759787,322.791284524,MISS
1.036,0.84,0,180985.7169,166313.921021,497.378679522,MISS
1.048,0.84,0,169182.490996,223599.592378,681.784773047,MISS
1.06,0.84,0,157379.26917,282299.875756,876.662539384,MISS
0.94,0.88,0,275411.73253,-254609.942777,-667.753487079,MISS
0.952,0.88,0,263608.566608,-204603.278664,-547.986622024,MISS
0.964,0.88,0,251805.28807,-154145.779918,-421.677107667,MISS
0.976,0.88,0,240001.994926,-103077.1814,-288.414684586,MISS
0.988,0.88,0,228198.75086,-51257.5276488,-147.788909817,MISS
1,0.88,1,216395.452457,1439.44566547,0.623190334036,PASS
1.012,0.88,0,204592.353055,55128.909714,157.266401513,MISS
1.024,0.88,0,192789.00132,109915.074902,322.626079578,MISS
1.036,0.88,0,180985.744662,165901.399342,497.221800531,MISS
1.048,0.88,0,169182.504938,223193.534957,681.635290007,MISS
1.06,0.88,0,157379.37834,281897.891711,876.510395875,MISS
0.94,0.92,0,275411.79199,-255480.343836,-668.275118842,MISS
0.952,0.92,0,263608.513661,-205350.04189,-548.403379381,MISS
0.964,0.92,0,251805.284806,-154796.287333,-422.015908973,MISS
0.976,0.92,0,240002.020185,-103654.439969,-288.696152555,MISS
0.988,0.92,0,228198.811321,-51778.473546,-148.026864943,MISS
1,0.92,1,216395.666745,959.254631454,0.415832037281,PASS
1.012,0.92,0,204592.31365,54680.1944052,157.08400406,MISS
1.024,0.92,0,192789.038351,109487.742514,322.460638645,MISS
1.036,0.92,0,180985.745349,165489.167644,497.067740671,MISS
1.048,0.92,0,169182.559145,222788.950669,681.483814977,MISS
1.06,0.92,0,157379.323639,281495.314169,876.3608501,MISS
0.94,0.96,0,275411.751912,-256354.85973,-668.801839049,MISS
0.952,0.96,0,263608.583053,-206100.293294,-548.827662622,MISS
0.964,0.96,0,251805.244569,-155450.059787,-422.360077386,MISS
0.976,0.96,0,240002.03886,-104232.856194,-288.979839521,MISS
0.988,0.96,0,228198.885836,-52300.913065,-148.267746767,MISS
1,0.96,1,216395.538818,478.919458237,0.211438691229,PASS
1.012,0.96,0,204592.356098,54231.2101641,156.902368308,MISS
1.024,0.96,0,192788.979064,109060.148456,322.293663994,MISS
1.036,0.96,0,180985.813452,165076.521899,496.907957009,MISS
1.048,0.96,0,169182.491935,222384.041785,681.333398041,MISS
1.06,0.96,0,157379.54616,281092.635946,876.208318837,MISS
0.94,1,0,275411.803289,-257234.727662,-669.333643229,MISS
0.952,1,0,263608.560687,-206853.704437,-549.252203648,MISS
0.964,1,0,251805.268898,-156105.858833,-422.704722302,MISS
0.976,1,0,240001.984782,-104814.552734,-289.265549911,MISS
0.988,1,0,228198.797873,-52825.6365027,-148.507829462,MISS
1,1,1,216395.507502,-1.83856468741,0.00189638185566,PASS
1.012,1,0,204592.245811,53781.3845192,156.71896015,MISS
1.024,1,0,192788.99896,108633.495993,322.125348413,MISS
1.036,1,0,180985.788225,164662.882756,496.751533607,MISS
1.048,1,0,169182.543852,221978.610501,681.180011525,MISS
1.06,1,0,157379.344436,280692.018031,876.060296172,MISS
0.94,1.04,0,275411.776583,-258119.104028,-669.871445569,MISS
0.952,1.04,0,263608.514506,-207610.389943,-549.682544274,MISS
0.964,1.04,0,251805.224418,-156764.105362,-423.055388249,MISS
0.976,1.04,0,240002.00997,-105396.967826,-289.554152124,MISS
0.988,1.04,0,228198.812984,-53351.7058205,-148.751030651,MISS
1,1.04,1,216395.6638,-483.875806406,-0.208784368062,PASS
1.012,1.04,0,204592.310303,53330.6550777,156.531913144,MISS
1.024,1.04,0,192789.0059,108203.836914,321.955908779,MISS
1.036,1.04,0,180985.741324,164248.644041,496.59290202,MISS
1.048,1.04,0,169182.528224,221574.037799,681.028204833,MISS
1.06,1.04,0,157379.296398,280288.67187,875.910732109,MISS
0.94,1.08,0,275411.801269,-259008.42475,-670.414614314,MISS
0.952,1.08,0,263608.560968,-208371.941341,-550.117014058,MISS
0.964,1.08,0,251805.230819,-157425.355793,-423.408104572,MISS
0.976,1.08,0,240002.045655,-105982.249719,-289.845244543,MISS
0.988,1.08,0,228198.719475,-53877.9466183,-148.993862366,MISS
1,1.08,1,216395.451718,-968.241672647,-0.41664256477,PASS
1.012,1.08,0,204592.362204,52879.0097906,156.345079785,MISS
1.024,1.08,0,192789.018995,107776.22092,321.786205638,MISS
1.036,1.08,0,180985.764596,163834.812657,496.435407233,MISS
1.048,1.08,0,169182.527728,221167.918215,680.875842189,MISS
1.06,1.08,0,157379.316619,279886.970471,875.75778496,MISS
0.94,1.12,0,275411.84126,-259901.697994,-670.963210506,MISS
0.952,1.12,0,263608.471436,-209134.858058,-550.556354495,MISS
0.964,1.12,0,251805.226809,-158089.881107,-423.76425087,MISS
0.976,1.12,0,240002.063004,-106570.242751,-290.139961309,MISS
0.988,1.12,0,228198.856422,-54406.353821,-149.242384848,MISS
1,1.12,1,216395.486517,-1453.61973098,-0.62882380358,PASS
1.012,1.12,0,204592.304799,52425.786653,156.156017892,MISS
1.024,1.12,0,192788.974117,107346.723529,321.616579259,MISS
1.036,1.12,0,180985.780478,163419.858396,496.273830546,MISS
1.048,1.12,0,169182.640849,220761.977094,680.719997885,MISS
1.06,1.12,0,157379.205047,279487.073437,875.607372812,MISS
0.94,1.16,0,275411.835673,-260799.996449,-671.517983176,MISS
0.952,1.16,0,263608.463628,-209903.600292,-550.999056878,MISS
0.964,1.16,0,251805.277462,-158756.022873,-424.124360858,MISS
0.976,1.16,0,240002.122548,-107158.251112,-290.436560718,MISS
0.988,1.16,0,228198.820008,-54937.3824269,-149.492915368,MISS
1,1.16,1,216395.6036,-1938.20885085,-0.844738471598,PASS
1.012,1.16,0,204592.327406,51972.9548826,155.969109851,MISS
1.024,1.16,0,192789.036857,106915.520532,321.443732744,MISS
1.036,1.16,0,180985.759501,163004.999092,496.114449607,MISS
1.048,1.16,0,169182.673575,220356.313351,680.562868227,MISS
1.06,1.16,0,157379.214497,279084.159632,875.454437255,MISS
0.94,1.2,0,275411.763036,-261703.309102,-672.078269986,MISS
0.952,1.2,0,263608.560144,-210674.773997,-551.446123769,MISS
0.964,1.2,0,251805.359128,-159426.261589,-424.487858714,MISS
0.976,1.2,0,240002.091827,-107749.697927,-290.73592248,MISS
0.988,1.2,0,228198.740805,-55468.7000391,-149.743480916,MISS
1,1.2,1,216395.530104,-2425.94387324,-1.06153983018,PASS
1.012,1.2,0,204592.242038,51518.6931147,155.778670706,MISS
1.024,1.2,0,192789.024446,106485.540041,321.272857752,MISS
1.036,1.2,0,180985.786819,162590.137278,495.951755309,MISS
1.048,1.2,0,169182.564982,219950.258006,680.410251245,MISS
1.06,1.2,0,157379.224594,278682.841678,875.301323076,MISS
