thrust_multiplier,final_altitude_km,final_velocity_m_s,fuel_margin_kg,status
0.9,-0.901746409361,3464.20168712,314755.961908,MISS
0.91,36.9729446035,6691.72870895,304919.921235,MISS
0.92,79.0308851664,6800.8360337,295083.836053,MISS
0.93,120.912697616,6892.47980648,285247.849918,MISS
0.94,162.765272338,6987.93584135,275411.803289,MISS
0.95,204.729597745,7087.56625408,265575.756867,MISS
0.96,246.9260682,7191.63674372,255739.667233,MISS
0.97,289.462798265,7300.39611379,245903.563279,MISS
0.98,332.431016711,7414.08820755,236067.671288,MISS
0.99,375.9163197,7532.96287106,226231.593813,MISS
1,419.998161435,7657.27138096,216395.507502,Orbit
1.01,464.745697423,7787.27904923,206559.464882,MISS
1.02,510.223816563,7923.26130543,196723.595016,MISS
1.03,556.493536995,8065.52019443,186887.488398,MISS
1.04,603.619621163,8214.37880468,177051.345636,MISS
1.05,651.664524506,8370.18679598,167215.285729,MISS
1.06,700.692018031,8533.32978075,157379.344436,MISS
1.07,750.766112297,8704.2385254,147543.220818,MISS
1.08,801.956840705,8883.37956371,137707.071177,MISS
1.09,854.326221936,9071.28324386,127871.289212,MISS
1.1,907.953289721,9268.54521402,118035.118468,MISS
