phase,interval_index,position_defect_m,velocity_defect_m_s,mass_defect_kg,max_relative_defect
boost,0,0,2.44571826134e-14,0,4.87612990167e-15
boost,1,9.31322574615e-10,9.3068215516e-14,9.31322574615e-10,7.53018063216e-15
boost,2,1.16415321827e-10,8.44143385739e-14,9.31322574615e-10,3.44130176709e-15
boost,3,4.79992668333e-10,2.84771664771e-14,0,3.88749185367e-16
boost,4,4.65661287308e-10,7.32410687764e-14,9.31322574615e-10,1.40370730893e-15
boost,5,9.31322574615e-10,1.11684683969e-13,9.31322574615e-10,2.90367953603e-15
boost,6,4.65661287308e-10,1.39960687332e-13,9.31322574615e-10,3.16334074227e-15
boost,7,1.04125029291e-09,9.53293114847e-14,9.31322574615e-10,2.06144536224e-15
boost,8,9.3857033042e-10,5.87004636609e-14,0,1.63825050869e-16
boost,9,4.65661287308e-10,1.22246394583e-13,0,1.62648256209e-15
boost,10,1.16415321827e-10,4.39446412658e-14,0,3.76835613529e-16
boost,11,0,1.38555833473e-13,0,1.67139122018e-15
boost,12,1.04125029291e-09,1.10990323434e-13,0,1.22603601738e-15
boost,13,9.3857033042e-10,1.13908665909e-13,0,1.31946207956e-15
boost,14,0,1.53055589383e-13,9.31322574615e-10,1.39827865463e-15
boost,15,1.04125029291e-09,1.30438307271e-13,0,1.46529243524e-15
boost,16,0,8.98773367956e-14,9.31322574615e-10,6.09060586185e-16
boost,17,1.16415321827e-10,7.28089643044e-14,0,7.14558181432e-16
boost,18,0,2.13162820728e-14,9.31322574615e-10,4.03685900357e-16
boost,19,9.3857033042e-10,6.35528743231e-14,9.31322574615e-10,5.08263603762e-16
boost,20,9.3857033042e-10,2.84217094304e-14,9.31322574615e-10,2.09623640168e-16
boost,21,0,8.16351451723e-14,9.31322574615e-10,3.06413372838e-16
boost,22,0,3.17764371616e-14,0,2.17177225211e-16
boost,23,9.3857033042e-10,6.51223174224e-14,0,2.06977442603e-16
boost,24,4.79992668333e-10,2.84217094304e-14,0,1.67522163364e-16
boost,25,1.16415321827e-10,6.35528743231e-14,0,1.65684666275e-16
boost,26,1.04125029291e-09,3.17764371616e-14,9.31322574615e-10,2.17051529553e-16
boost,27,9.31322574615e-10,1.02475930688e-13,0,6.95011804367e-16
boost,28,9.3857033042e-10,5.85928550211e-14,0,1.66950053338e-16
boost,29,4.65661287308e-10,1.06344299035e-13,9.31322574615e-10,3.47155223262e-16
boost,30,9.31322574615e-10,4.01943669423e-14,0,3.09484796581e-16
boost,31,9.3857033042e-10,5.85928550211e-14,0,2.17337398125e-16
boost,32,9.3857033042e-10,1.14571573538e-13,4.65661287308e-10,4.21629895123e-16
boost,33,9.31322574615e-10,1.13686837722e-13,0,4.0922726505e-16
boost,34,9.31322574615e-10,5.68434188608e-14,0,1.98717383616e-16
boost,35,9.3857033042e-10,1.17185710042e-13,4.65661287308e-10,2.61182048194e-16
boost,36,1.16415321827e-10,5.85928550211e-14,9.31322574615e-10,2.30672759883e-16
boost,37,9.3857033042e-10,8.16351451723e-14,9.31322574615e-10,2.32129003193e-16
boost,38,9.31322574615e-10,2.3608844978e-13,4.65661287308e-10,4.38400970233e-16
boost,39,9.31322574615e-10,1.84741111298e-13,4.65661287308e-10,5.80667138624e-16
boost,40,9.31322574615e-10,1.17185710042e-13,0,2.29247039317e-16
boost,41,0,6.35528743231e-14,0,2.27028724563e-16
boost,42,4.65661287308e-10,6.35528743231e-14,0,2.24839161136e-16
boost,43,0,4.26325641456e-14,4.65661287308e-10,3.34010672008e-16
boost,44,9.31322574615e-10,1.27105748646e-13,0,2.03156920954e-16
boost,45,1.04125029291e-09,5.68434188608e-14,0,1.67376596308e-16
boost,46,1.04125029291e-09,1.39237371444e-13,0,4.32601205435e-16
boost,47,0,1.63270290345e-13,0,3.15187436574e-16
boost,48,1.04125029291e-09,1.13686837722e-13,4.65661287308e-10,1.92191018972e-16
boost,49,1.04125029291e-09,5.68434188608e-14,0,1.67341723357e-16
boost,50,4.79992668333e-10,1.13686837722e-13,0,1.86518142766e-16
boost,51,9.3857033042e-10,5.68434188608e-14,4.65661287308e-10,1.69260660022e-16
boost,52,9.31322574615e-10,0,0,1.63258496639e-16
boost,53,1.16415321827e-10,1.13686837722e-13,4.65661287308e-10,1.77811366956e-16
boost,54,1.04125029291e-09,1.13686837722e-13,4.65661287308e-10,1.74815090322e-16
boost,55,1.04125029291e-09,6.35528743231e-14,4.65661287308e-10,1.96208927504e-16
boost,56,0,7.64749986904e-13,0,2.31523616471e-15
