time_s,delta_r_m,log_delta_r
0,1e-12,-27.6310211159
0.299382739442,0.0006708171634,-7.30701394188
0.598765478885,0.0026857865249,-5.919781661
0.898148218327,0.00604868914717,-5.10791370031
1.19753095777,0.0107633743386,-4.53160617317
1.49691369721,0.016833502687,-4.08438417081
1.79629643665,0.0242632953956,-3.7187905481
2.0956791761,0.033056305004,-3.4095429592
2.39506191554,0.0432167050695,-3.14152816705
2.69444465498,0.0547483346515,-2.90500832807
2.99382739442,0.0676550742842,-2.69333291928
3.29321013387,0.0819411283109,-2.50175423699
3.59259287331,0.0976112203083,-2.32676283
3.89197561275,0.114666854185,-2.16572427495
4.19135835219,0.133114854548,-2.01654295539
4.49074109164,0.152959037276,-1.87758512366
4.79012383108,0.17420257008,-1.74753646106
5.08950657052,0.196849460697,-1.62531600126
5.38888930996,0.220905381649,-1.51002080648
5.6882720494,0.246372838295,-1.40090928759
5.98765478885,0.273257175085,-1.29734189396
6.28703752829,0.301563322171,-1.19877526108
6.58642026773,0.331294147397,-1.1047486354
6.88580300717,0.362454042004,-1.0148575934
7.18518574662,0.395048858577,-0.928745829131
7.48456848606,0.42908267637,-0.846105659811
7.7839512255,0.464558891414,-0.766666944234
8.08333396494,0.501482752492,-0.690186064013
8.38271670439,0.539858443055,-0.61644831628
8.68209944383,0.579691141592,-0.545259831774
8.98148218327,0.620984431744,-0.476449267018
9.28086492271,0.663744137147,-0.409858539388
9.58024766216,0.707974276282,-0.345347518883
9.8796304016,0.753679525192,-0.282788034229
10.179013141,0.800865528673,-0.222062225317
10.4783958805,0.849535507044,-0.163065541163
10.7777786199,0.899695270714,-0.105699161088
11.0771613594,0.951349361397,-0.0498739217553
11.3765440988,1.00450254888,0.00449244273351
11.6759268383,1.05915978392,0.0574759371277
11.9753095777,1.1153260683,0.109146800101
12.2746923171,1.17300613636,0.159569800992
12.5740750566,1.23220507875,0.20880531128
12.873457796,1.29292799461,0.256909409613
13.1728405355,1.35518029838,0.303934507017
13.4722232749,1.41896695127,0.349929107749
13.7716060143,1.48429323788,0.394938724876
14.0709887538,1.55116380507,0.439005491172
14.3703714932,1.61958411384,0.482169396434
14.6697542327,1.68955899629,0.524467545942
14.9691369721,1.76109415788,0.565935296498
15.2685197116,1.83419514044,0.60660576972
15.567902451,1.90886722675,0.64650999112
15.8672851904,1.98511583812,0.685677269174
16.1666679299,2.06294619461,0.72413515261
16.4660506693,2.14236413778,0.761909956541
16.7654334088,2.223375625,0.799026592816
17.0648161482,2.3059852505,0.835508025686
17.3641988877,2.39019901516,0.871376632417
17.6635816271,2.47602217118,0.906653309218
17.9629643665,2.56346018621,0.941357981094
18.262347106,2.65251906313,0.975509778333
18.5617298454,2.74320472933,1.00912684618
18.8611125849,2.83552382052,1.04222668926
19.1604953243,2.92948092421,1.07482524836
19.4598780638,3.02508202096,1.10693820548
19.7592608032,3.12233293324,1.13858045742
20.0586435426,3.22123860637,1.16976594596
20.3580262821,3.32180583689,1.20050856183
20.6574090215,3.42404099866,1.23082143211
20.956791761,3.52794949029,1.26071682123
21.2561745004,3.63353709978,1.2902065815
21.5555572398,3.7408105063,1.31930230086
21.8549399793,3.84977634162,1.34801505353
22.1543227187,3.96044006605,1.37635514688
22.4537054582,4.07280769696,1.40433261345
22.7530881976,4.18688603832,1.43195726869
23.0524709371,4.30268118559,1.45923835992
23.3518536765,4.42019798426,1.48618448791
23.6512364159,4.53944393779,1.51280452389
23.9506191554,4.66042615227,1.53910689294
24.2500018948,4.78315179469,1.56509970049
24.5493846343,4.90762538916,1.59079019736
24.8487673737,5.03385413186,1.61618591971
25.1481501132,5.16184537793,1.64129414694
25.4475328526,5.29160531936,1.66612166285
25.746915592,5.42313918257,1.69067483277
26.0462983315,5.55645466731,1.71496025511
26.3456810709,5.69155885316,1.73898417427
26.6450638104,5.82845630355,1.76275218032
26.9444465498,5.96715456084,1.78627019081
27.2438292893,6.10766155065,1.80954397499
27.5432120287,6.2499829592,1.83257873722
27.8425947681,6.39412398078,1.85537944062
28.1419775076,6.54009408958,1.87795155215
28.441360247,6.68790047377,1.90029999436
28.7407429865,6.83754827253,1.92242922769
29.0401257259,6.98904345515,1.94434370212
29.3395084654,7.14239532946,1.96604820041
29.6388912048,7.29761094132,1.98754702628
29.9382739442,7.45469385064,2.00884388106
30.2376566837,7.61365270179,2.02994304381
30.5370394231,7.77449582671,2.05084861052
30.8364221626,7.9372289404,2.07156421439
31.135804902,8.10185661857,2.09209324758
31.4351876414,8.26838893383,2.11243968157
31.7345703809,8.43683505691,2.13260724502
32.0339531203,8.60719606892,2.15259860558
32.3333358598,8.77948253117,2.17241746869
32.6327185992,8.95370379095,2.19206727807
32.9321013387,9.12986866143,2.21155130912
33.2314840781,9.30797966898,2.23087206118
33.5308668175,9.48804413448,2.25003249385
33.830249557,9.67007254785,2.2690358118
34.1296322964,9.85407249208,2.28788482071
34.4290150359,10.0400455293,2.30658164904
34.7283977753,10.2280024621,2.32512929815
35.0277805148,10.4179539921,2.34353066312
35.3271632542,10.6099039388,2.36178789875
35.6265459936,10.8038561885,2.37990312489
35.9259287331,10.9998238868,2.39787926238
36.2253114725,11.1978112777,2.41571833757
36.524694212,11.397820251,2.43342213106
36.8240769514,11.5998612117,2.45099313353
37.1234596909,11.8039482453,2.46843407256
37.4228424303,12.0100651319,2.48574505921
37.7222251697,12.2181597665,2.50292335047
38.0216079092,12.4282286423,2.51997038871
38.3209906486,12.6402891133,2.53688926134
38.6203733881,12.8543362727,2.55368120755
38.9197561275,13.0703747164,2.57034819719
39.2191388669,13.2884141198,2.58689253677
39.5185216064,13.5084624357,2.60331633615
39.8179043458,13.7305118567,2.61962049925
40.1172870853,13.9545635607,2.63580659174
40.4166698247,14.1806356193,2.65187734515
40.7160525642,14.4087232856,2.66783380689
41.0154353036,14.6388228938,2.68367710187
41.314818043,14.8709457417,2.6994093591
41.6142007825,15.1050961672,2.7150321814
41.9135835219,15.3412704464,2.7305466117
42.2129662614,15.5794649763,2.74595369944
42.5123490008,15.8196879412,2.76125523656
42.8117317403,16.0619570786,2.77645356153
43.1111144797,16.3062614561,2.79154917246
43.4104972191,16.5525956673,2.80654292743
43.7098799586,16.800972179,2.82143675253
44.009262698,17.0511203253,2.8362159098
44.3086454375,17.30283484,2.85087035166
44.6080281769,17.5561294096,2.86540314305
44.9074109164,17.8110049565,2.87981652224
45.2067936558,18.0674153954,2.89411006147
45.5061763952,18.3254778471,2.90829232367
45.8055591347,18.5852121036,2.92236621631
46.1049418741,18.8466252457,2.93633386581
46.4043246136,19.1097123935,2.95019670809
46.703707353,19.3744873942,2.96395711782
47.0030900925,19.6409641011,2.97761739037
47.3024728319,19.9091407189,2.99117895888
47.6018555713,20.1790203746,3.00464346938
47.9012383108,20.4506183732,3.01801312033
48.2006210502,20.7239474282,3.03128991219
48.5000037897,20.9989997339,3.04447480487
48.7993865291,21.2757874239,3.05756968547
49.0987692685,21.5543261862,3.0705765475
49.398152008,21.8346216748,3.08349686024
49.6975347474,22.1166674724,3.09633150854
49.9969174869,22.4004846866,3.10908259642
50.2963002263,22.6860859847,3.12175178434
50.5956829658,22.9734671608,3.13433994832
50.8950657052,23.2626346211,3.146848409
51.1944484446,23.553605998,3.15927892967
51.4938311841,23.8463956825,3.17163308149
51.7932139235,24.1409971677,3.18391152251
52.092596663,24.4374220896,3.19611564959
52.3919794024,24.735687578,3.20824704207
52.6913621419,25.0357978287,3.2203067138
52.9907448813,25.3377514138,3.23229543433
53.2901276207,25.641567071,3.2442147484
53.5895103602,25.947261656,3.25606608019
53.8888930996,26.2548332752,3.26785009686
54.1882758391,26.5642887056,3.27956778392
54.4876585785,26.8756465154,3.29122054255
54.787041318,27.1889166875,3.30280941554
55.0864240574,27.5040948226,3.31433489623
55.3858067968,27.8211991252,3.32579828856
55.6851895363,28.1402494655,3.3372009168
55.9845722757,28.4612558446,3.34854371834
56.2839550152,28.7842146506,3.35982713447
56.5833377546,29.1091449897,3.37105238562
56.882720494,29.436067287,3.38222070093
57.1821032335,29.7649765386,3.39333241839
57.4814859729,30.0958830877,3.40438838791
57.7808687124,30.4288155869,3.4153900406
58.0802514518,30.7637841799,3.42633815983
58.3796341913,31.1007876539,3.43723314536
58.6790169307,31.4398436046,3.44807599314
58.9783996701,31.7809705717,3.45886770097
59.2777824096,32.1242115201,3.46960999879
59.577165149,32.4695744427,3.48030347986
59.8765478885,32.8170809935,3.49094914184
60.1759306279,33.1667673335,3.50154839067
60.4753133674,33.5187844303,3.51210601094
60.7746961068,33.8731944765,3.52262397819
61.0740788462,34.2300021843,3.53310251635
61.3734615857,34.5892351135,3.54354250977
61.6728443251,34.9509043739,3.55394434457
61.9722270646,35.315033036,3.56430873833
62.271609804,35.6816375435,3.57463620194
62.5709925435,36.0507290119,3.58492708577
62.8703752829,36.4223413202,3.5951823589
63.1697580223,36.7965002398,3.60540273847
63.4691407618,37.1732328385,3.61558895493
63.7685235012,37.5525559406,3.62574144355
64.0679062407,37.9344825039,3.63586052704
64.3672889801,38.319034951,3.64594676883
64.6666717195,38.7062167617,3.65600022697
64.966054459,39.096017739,3.6660206137
65.2654371984,39.4884629905,3.67600855305
65.5648199379,39.8835793181,3.68596469328
65.8642026773,40.2813699559,3.69588907809
66.1635854168,40.6818415649,3.7057818397
66.4629681562,41.0850133933,3.71564341737
66.7623508956,41.4909067275,3.72547428823
67.0617336351,41.8995211547,3.73527439857
67.3611163745,42.3108707499,3.74504404476
67.660499114,42.7249837493,3.75478384865
67.9598818534,43.1418677003,3.76449393396
68.2592645929,43.5615215433,3.77417422728
68.5586473323,43.9839704558,3.78382525972
68.8580300717,44.4092382287,3.79344751601
69.1574128112,44.8373091952,3.80304058738
69.4567955506,45.268211343,3.8126050498
69.7561782901,45.7019668359,3.82214133496
70.0555610295,46.1385928374,3.83164975461
70.354943769,46.5780879206,3.84113021425
70.6543265084,47.020471567,3.85058307213
70.9537092478,47.4657731486,3.86000888602
71.2530919873,47.9140173364,3.86940809911
71.5524747267,48.3651911536,3.87878036394
71.8518574662,48.8193142898,3.88812601918
72.1512402056,49.2764122194,3.89744551258
72.4506229451,49.7364885267,3.90673883932
72.7500056845,50.199549683,3.9160060562
73.0493884239,50.6656217307,3.92524760823
73.3487711634,51.1347127866,3.93446357748
73.6481539028,51.606822287,3.94365387861
73.9475366423,52.0819785464,3.9528189877
74.2469193817,52.5602065871,3.96195930467
74.5463021211,53.0415045805,3.97107471238
74.8456848606,53.5258867243,3.98016540088
75.1450676,54.0133780484,3.98923175752
75.4444503395,54.5040009002,3.99827410999
75.7438330789,54.9977534232,4.00729233755
76.0432158184,55.4946538797,4.01628668962
76.3425985578,55.9947261789,4.02525751092
76.6419812972,56.4979985948,4.03420521442
76.9413640367,57.0044668138,4.04312962992
77.2407467761,57.5141471386,4.05203095473
77.5401295156,58.0270617329,4.06090948333
77.839512255,58.5432098315,4.06976511118
78.1388949945,59.0626080722,4.07859803505
78.4382777339,59.5852825085,4.0874086058
78.7376604733,60.1112550859,4.09619709665
79.0370432128,60.6405266268,4.10496342577
79.3364259522,61.1731149681,4.11370779509
79.6358086917,61.7090444886,4.12243050831
79.9351914311,62.2483398075,4.13113186523
80.2345741706,62.7910007544,4.13981176312
80.53395691,63.3370371928,4.14847026377
80.8333396494,63.8864910284,4.15710793103
