thrust_multiplier,final_altitude_km,final_velocity_m_s,fuel_margin_kg,normalized_orbit_error,orbit_ok,strict_ok,path_ok,q_ok,g_ok,max_q_pa,max_g,status
0.9,-0.901746409361,3464.20168712,314755.961908,215.686402758,0,0,0,0,0,5663710.34656,28.3199614173,MISS
0.91,36.9729446035,6691.72870895,304919.921235,78.6662887983,0,0,0,0,1,73479.4093789,3.18038373727,MISS
0.92,79.0308851664,6800.8360337,295083.836053,70.0140405436,0,0,0,0,1,40498.1167276,3.26512445281,MISS
0.93,120.912697616,6892.47980648,285247.849918,61.8334041489,0,0,0,0,1,39405.8745744,3.35354463721,MISS
0.94,162.765272338,6987.93584135,275411.803289,53.5451541582,0,0,0,0,1,38456.7523876,3.44213099487,MISS
0.95,204.729597745,7087.56625408,265575.756867,45.1163338095,0,0,0,0,1,37634.3567784,3.53151992573,MISS
0.96,246.9260682,7191.63674372,255739.667233,36.5197892179,0,0,0,0,1,36925.906105,3.62244122044,MISS
0.97,289.462798265,7300.39611379,245903.563279,27.7312646023,0,0,0,0,1,36318.4104074,3.71462108053,MISS
0.98,332.431016711,7414.08820755,236067.671288,18.7289792984,0,0,0,0,1,35801.3235512,3.80909339259,MISS
0.99,375.9163197,7532.96287106,226231.593813,9.49196621937,0,0,1,1,1,35366.6533522,3.90585401454,MISS
1,419.998161435,7657.27138096,216395.507502,0.000328877205693,1,1,1,1,1,35037.0561251,4.00517772508,Orbit
1.01,464.745697423,7787.27904923,206559.464882,9.76566091343,0,0,0,0,0,36049.1307924,4.12600366171,MISS
1.02,510.223816563,7923.26130543,196723.595016,19.8244546203,0,0,0,0,0,37104.3355091,4.26094259392,MISS
1.03,556.493536995,8065.52019443,186887.488398,30.1957342172,0,0,0,0,0,38148.6141034,4.40207921965,MISS
1.04,603.619621163,8214.37880468,177051.345636,40.900004904,0,0,0,0,0,39180.8356472,4.54986843939,MISS
1.05,651.664524506,8370.18679598,167215.285729,51.9585369758,0,0,0,0,0,40199.8474521,4.70479785589,MISS
1.06,700.692018031,8533.32978075,157379.344436,63.3940520293,0,0,0,0,0,41207.6535079,4.86740370272,MISS
1.07,750.766112297,8704.2385254,147543.220818,75.2310626191,0,0,0,0,0,42236.2150651,5.03827310956,MISS
1.08,801.956840705,8883.37956371,137707.071177,87.4960171563,0,0,0,0,0,43259.6950533,5.21806053597,MISS
1.09,854.326221936,9071.28324386,127871.289212,100.21715497,0,0,0,0,0,44269.077559,5.37541235195,MISS
1.1,907.953289721,9268.54521402,118035.118468,113.426958452,0,0,0,0,0,45263.4067611,5.53644119851,MISS
