run,thrust_multiplier,isp_multiplier,density_multiplier,altitude_error_m,velocity_error_m_s,fuel_margin_kg,strict_success,q_ok,g_ok,status
1,0.966129293323,1.02143447125,1.01502716933,-192110.610315,-516.305033267,269652.424367,0,0,1,MISS
2,1.01580226917,0.999733797942,0.894082612226,72853.3354147,210.773076504,200586.384594,0,1,0,MISS
3,0.982287427313,0.998290354101,1.02753642015,-74266.8276443,-205.593759972,232162.993656,0,0,1,MISS
4,1.00784392092,1.00818424398,0.85856536233,17624.472345,41.3898555058,216727.644251,0,1,1,MISS
5,1.00836040826,0.993433159522,1.03107159341,52704.420259,159.406423323,201615.935546,0,0,0,MISS
6,0.973111633464,1.01601559824,1.10287423627,-152997.023712,-415.506844102,257930.806941,0,0,1,MISS
7,0.974603709631,1.00061623991,1.01945990687,-112439.307313,-309.059609794,241965.858773,0,0,1,MISS
8,0.981621958485,0.989454324435,1.15041220363,-58975.8278173,-155.542199907,224181.536705,0,0,1,MISS
9,1.01254471654,0.996312128884,1.06836017332,64374.3527098,193.065580894,200370.033093,0,0,0,MISS
10,1.0125326684,0.99849029307,1.08444096183,58872.838916,175.413670532,202562.551439,0,0,0,MISS
11,1.01753726583,1.00519955219,0.862530560959,67942.56379,190.959233235,204323.072686,0,1,0,MISS
12,1.02584796757,1.01152931746,0.910934142642,89904.8237312,253.198358403,202472.263437,0,1,0,MISS
13,1.01064148107,1.01091304189,0.893169656538,23340.3816275,57.1546855205,216659.884949,0,1,0,MISS
14,0.993191125682,1.0106534395,0.917878697962,-52793.755999,-156.02416942,233390.494142,0,1,1,MISS
15,1.00071476358,1.01090130457,1.04752782182,-22270.6719222,-67.8141535901,226307.087737,0,0,1,MISS
16,1.00909360295,1.01486782879,1.09291165128,5037.84344296,8.26754246216,221991.896478,0,0,1,PATH
17,0.956007008364,0.988487620492,0.874604807979,-163561.9441,-442.484116924,248715.696822,0,1,1,MISS
18,0.983195909707,0.988944968881,1.02545362798,-49271.1731115,-132.050341589,222113.564139,0,0,1,MISS
