run,thrust_multiplier,isp_multiplier,density_multiplier,optimizer_success,strict_ok,strict_path_ok,q_ok,g_ok,status,minimum_fuel_kg,runtime_s
1,0.966129293323,1.02143447125,1.01502716933,0,0,0,0,0,OPT_FAIL,nan,168.800202847
2,1.01580226917,0.999733797942,0.894082612226,1,1,1,1,1,PASS,4655565.88639,109.674165964
3,0.982287427313,0.998290354101,1.02753642015,1,1,1,1,1,PASS,4661812.89627,64.6345021725
4,1.00784392092,1.00818424398,0.85856536233,1,1,1,1,1,PASS,4649428.96291,89.6753480434
5,1.00836040826,0.993433159522,1.03107159341,1,1,1,1,1,PASS,4663258.9051,64.215047121
6,0.973111633464,1.01601559824,1.10287423627,1,1,0,1,0,PATH,4651370.30883,91.5642101765
7,0.974603709631,1.00061623991,1.01945990687,1,1,1,1,1,PASS,4660703.9305,61.1783699989
8,0.981621958485,0.989454324435,1.15041220363,1,1,1,1,1,PASS,4670344.48255,63.1891746521
9,1.01254471654,0.996312128884,1.06836017332,1,1,1,1,1,PASS,4661569.04178,86.7232999802
10,1.0125326684,0.99849029307,1.08444096183,1,1,1,1,1,PASS,4660292.41272,119.610733032
11,1.01753726583,1.00519955219,0.862530560959,1,1,0,1,0,PATH,4650872.54304,77.0186021328
12,1.02584796757,1.01152931746,0.910934142642,1,1,1,1,1,PASS,4646583.07457,76.4579291344
13,1.01064148107,1.01091304189,0.893169656538,1,1,1,1,1,PASS,4647884.48864,85.0274131298
14,0.993191125682,1.0106534395,0.917878697962,1,1,1,1,1,PASS,4650028.14965,115.322948933
15,1.00071476358,1.01090130457,1.04752782182,1,1,1,1,1,PASS,4651587.41911,90.3165590763
16,1.00909360295,1.01486782879,1.09291165128,1,1,1,1,1,PASS,4648895.74541,75.6836612225
17,0.956007008364,0.988487620492,0.874604807979,1,1,1,1,1,PASS,4668592.04952,98.5571529865
18,0.983195909707,0.988944968881,1.02545362798,1,1,1,1,1,PASS,4668366.87844,61.06047225
19,0.977730073222,1.00047213769,1.01820755467,1,1,1,1,1,PASS,4660498.44959,82.3294348717
20,1.00810737135,0.995235170975,0.961572319597,1,1,1,1,1,PASS,4660683.88732,107.587835073
21,1.00487893163,0.995211838011,0.994386087473,1,1,1,1,1,PASS,4661559.53647,94.6387910843
22,1.00190473059,1.02062503758,0.903139821067,1,1,1,1,1,PASS,4641828.04277,73.5893950462
23,0.9944180994,0.996893240788,1.03102708654,1,1,1,1,1,PASS,4661854.75592,98.2391340733
24,0.97488041538,1.01238999872,0.975438738935,1,1,1,1,1,PASS,4651531.32359,1803.98577309
25,1.01653140455,0.996203877091,0.944519614423,1,1,0,1,0,PATH,4659026.00044,61.6307556629
26,1.00689697021,0.986448489551,0.95686673346,1,1,1,1,1,PASS,4667018.9549,58.9129910469
27,0.961904490587,0.996087365444,0.883868609832,1,1,1,1,1,PASS,4662782.37925,62.4057340622
28,1.01263746565,1.00503008978,0.915959544409,1,1,1,1,1,PASS,4652400.22131,53.2061729431
29,0.971870066428,1.00081535115,0.93060360174,1,1,1,1,1,PASS,4659253.25161,65.0843169689
30,0.997600024429,0.989551611903,1.08062797728,1,1,1,1,1,PASS,4667769.35081,49.4657363892
31,0.993310132357,0.997564097877,1.09859211524,1,1,1,1,1,PASS,4662683.69877,42.0207459927
32,0.97997222994,1.01173692945,0.86887637497,1,1,1,1,1,PASS,4649608.43104,43.9435939789
33,1.00297196705,1.0132997844,1.04636799379,1,1,1,1,1,PASS,4649656.61646,52.8577427864
