thrust_multiplier,density_multiplier,strict_success,fuel_margin_kg,normalized_orbit_error,altitude_error_m,velocity_error_m_s,q_ok,g_ok,status
0.94,0.8,0,275411.773355,182.500362947,-252882.508797,-666.727383804,1,1,MISS
0.952,0.8,0,263608.538406,147.122282307,-203120.275314,-547.163282364,1,1,MISS
0.964,0.8,0,251805.301026,111.172589336,-152852.022177,-421.006740857,1,1,MISS
0.976,0.8,0,240002.168891,74.5289926217,-101929.157522,-287.860724523,1,1,MISS
0.988,0.8,0,228198.89783,37.0833478601,-50220.6576439,-147.320455414,1,1,MISS
1,0.8,0,216395.569248,1.34227851302,2392.64361206,1.02833161312,1,0,MISS
1.012,0.8,0,204592.320935,40.6204008551,56021.9295763,157.627797069,1,0,MISS
1.024,0.8,0,192789.064241,81.0578184544,110767.238836,322.954565692,1,0,MISS
1.036,0.8,0,180985.672334,122.677944614,166726.497136,497.536068222,1,0,MISS
1.048,0.8,0,169182.486143,165.575483358,224003.230238,681.936570378,1,0,MISS
1.06,0.8,0,157379.236999,209.853062062,282701.899536,876.810081098,1,0,MISS
0.94,0.84,0,275411.787034,183.013250384,-253744.397157,-667.237997347,1,1,MISS
0.952,0.84,0,263608.555962,147.552474548,-203860.548003,-547.572681387,1,1,MISS
0.964,0.84,0,251805.337076,111.539002204,-153497.679216,-421.340638305,1,1,MISS
0.976,0.84,0,240002.004565,74.8460683316,-102502.027901,-288.136407326,1,1,MISS
0.988,0.84,0,228198.753167,37.3630179024,-50738.404327,-147.553663769,1,1,MISS
1,0.84,0,216395.480942,1.07590130359,1917.00000738,0.826971024603,1,1,MISS
1.012,0.84,0,204592.214719,40.3882601462,55575.8337221,157.448409158,1,0,MISS
1.024,0.84,0,192788.995161,80.8412851644,110341.759787,322.791284524,1,0,MISS
1.036,0.84,0,180985.7169,122.471504055,166313.921021,497.378679522,1,0,MISS
1.048,0.84,0,169182.490996,165.377368687,223599.592378,681.784773047,1,0,MISS
1.06,0.84,0,157379.26917,209.659127738,282299.875756,876.662539384,1,0,MISS
0.94,0.88,0,275411.73253,183.529488307,-254609.942777,-667.753487079,1,1,MISS
0.952,0.88,0,263608.566608,147.984755241,-204603.278664,-547.986622024,1,1,MISS
0.964,0.88,0,251805.28807,111.907153511,-154145.779918,-421.677107667,1,1,MISS
0.976,0.88,0,240001.994926,75.1651669076,-103077.1814,-288.414684586,1,1,MISS
0.988,0.88,0,228198.75086,37.643821823,-51257.5276488,-147.788909817,1,1,MISS
1,0.88,1,216395.452457,0.808181025166,1439.44566547,0.623190334036,1,1,PASS
1.012,0.88,0,204592.353055,40.1558964765,55128.909714,157.266401513,1,0,MISS
1.024,0.88,0,192789.00132,80.6241247716,109915.074902,322.626079578,1,0,MISS
1.036,0.88,0,180985.744662,122.265658428,165901.399342,497.221800531,1,0,MISS
1.048,0.88,0,169182.504938,165.178482235,223193.534957,681.635290007,1,0,MISS
1.06,0.88,0,157379.37834,209.464782604,281897.891711,876.510395875,0,0,MISS
0.94,0.92,0,275411.79199,184.048674033,-255480.343836,-668.275118842,1,1,MISS
0.952,0.92,0,263608.513661,148.41985832,-205350.04189,-548.403379381,1,1,MISS
0.964,0.92,0,251805.284806,112.277278763,-154796.287333,-422.015908973,1,1,MISS
0.976,0.92,0,240002.020185,75.485545629,-103654.439969,-288.696152555,1,1,MISS
0.988,0.92,0,228198.811321,37.9259047005,-51778.473546,-148.026864943,1,1,MISS
1,0.92,1,216395.666745,0.538581397331,959.254631454,0.415832037281,1,1,PASS
1.012,0.92,0,204592.31365,39.9222817958,54680.1944052,157.08400406,1,0,MISS
1.024,0.92,0,192789.038351,80.4069807052,109487.742514,322.460638645,1,0,MISS
1.036,0.92,0,180985.745349,122.060173714,165489.167644,497.067740671,0,0,MISS
1.048,0.92,0,169182.559145,164.979927655,222788.950669,681.483814977,0,0,MISS
1.06,0.92,0,157379.323639,209.270424984,281495.314169,876.3608501,0,0,MISS
0.94,0.96,0,275411.751912,184.571339561,-256354.85973,-668.801839049,0,1,MISS
0.952,0.96,0,263608.583053,148.857768113,-206100.293294,-548.827662622,0,1,MISS
0.964,0.96,0,251805.244569,112.649253574,-155450.059787,-422.360077386,1,1,MISS
0.976,0.96,0,240002.03886,75.8069293149,-104232.856194,-288.979839521,1,1,MISS
0.988,0.96,0,228198.885836,38.2098255441,-52300.913065,-148.267746767,1,1,MISS
1,0.96,1,216395.538818,0.269224682947,478.919458237,0.211438691229,1,1,PASS
1.012,0.96,0,204592.356098,39.6890264876,54231.2101641,156.902368308,1,0,MISS
1.024,0.96,0,192788.979064,80.1892749196,109060.148456,322.293663994,0,0,MISS
1.036,0.96,0,180985.813452,121.853727638,165076.521899,496.907957009,0,0,MISS
1.048,0.96,0,169182.491935,164.781339663,222384.041785,681.333398041,0,0,MISS
1.06,0.96,0,157379.54616,209.075835738,281092.635946,876.208318837,0,0,MISS
0.94,1,0,275411.803289,185.09741721,-257234.727662,-669.333643229,0,1,MISS
