n,success_rate,wilson_low_95,wilson_high_95,ci_half_width_95,relative_half_width,target_half_width,target_relative_half_width
20,0,0,0.161130125495,0.0805650627475,1.61130125495,0.04,0.6
40,0,0,0.0876245392504,0.0438122696252,1.75249078501,0.04,0.6
60,0.0166666666667,0.00294808386087,0.0885533822678,0.0428026492035,2.56815895221,0.04,0.6
80,0.0125,0.00220991861831,0.0674643242397,0.0326272028107,2.61017622485,0.04,0.6
100,0.01,0.00176738656555,0.0544875247609,0.0263600690977,2.63600690977,0.04,0.6
120,0.0166666666667,0.00458246854115,0.0587371268129,0.0270773291359,1.62463974815,0.04,0.6
140,0.0142857142857,0.00392635845999,0.0505891641705,0.0233314028552,1.63319819987,0.04,0.6
160,0.0125,0.0034345991561,0.0444262615777,0.0204958312108,1.63966649686,0.04,0.6
180,0.0111111111111,0.00305231090831,0.039601800022,0.0182747445568,1.64472701011,0.04,0.6
200,0.01,0.00274660060377,0.0357224851962,0.0164879422962,1.64879422962,0.04,0.6
220,0.00909090909091,0.00249655343526,0.0325353619906,0.0150194042777,1.65213447055,0.04,0.6
240,0.00833333333333,0.00228823536316,0.0298703462734,0.0137910554551,1.65492665462,0.04,0.6
260,0.00769230769231,0.00211200494274,0.027608857878,0.0127484264676,1.65729544079,0.04,0.6
