trial,label,status,solver_success,mission_success,progress,delta_downrange_km,delta_altitude_km,delta_velocity_m_s,delta_mass_kg,position_separation_km
1,nominal,MISSION_OK,1,1,0,0,0,0,0,0
1,nominal,MISSION_OK,1,1,0.00333333333333,0,0,0,0,0
1,nominal,MISSION_OK,1,1,0.00666666666667,0,0,0,0,0
1,nominal,MISSION_OK,1,1,0.01,0,0,0,0,0
1,nominal,MISSION_OK,1,1,0.0133333333333,0,0,0,0,0
1,nominal,MISSION_OK,1,1,0.0166666666667,0,0,0,0,0
1,nominal,MISSION_OK,1,1,0.02,0,0,0,0,0
1,nominal,MISSION_OK,1,1,0.0233333333333,0,0,0,0,0
1,nominal,MISSION_OK,1,1,0.0266666666667,0,0,0,0,0
1,nominal,MISSION_OK,1,1,0.03,0,0,0,0,0
1,nominal,MISSION_OK,1,1,0.0333333333333,0,0,0,0,0
1,nominal,MISSION_OK,1,1,0.0366666666667,0,0,0,0,0
1,nominal,MISSION_OK,1,1,0.04,0,0,0,0,0
1,nominal,MISSION_OK,1,1,0.0433333333333,0,0,0,0,0
1,nominal,MISSION_OK,1,1,0.0466666666667,0,0,0,0,0
1,nominal,MISSION_OK,1,1,0.05,0,0,0,0,0
1,nominal,MISSION_OK,1,1,0.0533333333333,0,0,0,0,0
1,nominal,MISSION_OK,1,1,0.0566666666667,0,0,0,0,0
1,nominal,MISSION_OK,1,1,0.06,0,0,0,0,0
1,nominal,MISSION_OK,1,1,0.0633333333333,0,0,0,0,0
1,nominal,MISSION_OK,1,1,0.0666666666667,0,0,0,0,0
1,nominal,MISSION_OK,1,1,0.07,0,0,0,0,0
1,nominal,MISSION_OK,1,1,0.0733333333333,0,0,0,0,0
1,nominal,MISSION_OK,1,1,0.0766666666667,0,0,0,0,0
1,nominal,MISSION_OK,1,1,0.08,0,0,0,0,0
1,nominal,MISSION_OK,1,1,0.0833333333333,0,0,0,0,0
1,nominal,MISSION_OK,1,1,0.0866666666667,0,0,0,0,0
1,nominal,MISSION_OK,1,1,0.09,0,0,0,0,0
1,nominal,MISSION_OK,1,1,0.0933333333333,0,0,0,0,0
1,nominal,MISSION_OK,1,1,0.0966666666667,0,0,0,0,0
1,nominal,MISSION_OK,1,1,0.1,0,0,0,0,0
1,nominal,MISSION_OK,1,1,0.103333333333,0,0,0,0,0
1,nominal,MISSION_OK,1,1,0.106666666667,0,0,0,0,0
1,nominal,MISSION_OK,1,1,0.11,0,0,0,0,0
1,nominal,MISSION_OK,1,1,0.113333333333,0,0,0,0,0
1,nominal,MISSION_OK,1,1,0.116666666667,0,0,0,0,0
1,nominal,MISSION_OK,1,1,0.12,0,0,0,0,0
1,nominal,MISSION_OK,1,1,0.123333333333,0,0,0,0,0
1,nominal,MISSION_OK,1,1,0.126666666667,0,0,0,0,0
1,nominal,MISSION_OK,1,1,0.13,0,0,0,0,0
1,nominal,MISSION_OK,1,1,0.133333333333,0,0,0,0,0
1,nominal,MISSION_OK,1,1,0.136666666667,0,0,0,0,0
1,nominal,MISSION_OK,1,1,0.14,0,0,0,0,0
1,nominal,MISSION_OK,1,1,0.143333333333,0,0,0,0,0
1,nominal,MISSION_OK,1,1,0.146666666667,0,0,0,0,0
1,nominal,MISSION_OK,1,1,0.15,0,0,0,0,0
1,nominal,MISSION_OK,1,1,0.153333333333,0,0,0,0,0
1,nominal,MISSION_OK,1,1,0.156666666667,0,0,0,0,0
1,nominal,MISSION_OK,1,1,0.16,0,0,0,0,0
1,nominal,MISSION_OK,1,1,0.163333333333,0,0,0,0,0
1,nominal,MISSION_OK,1,1,0.166666666667,0,0,0,0,0
1,nominal,MISSION_OK,1,1,0.17,0,0,0,0,0
1,nominal,MISSION_OK,1,1,0.173333333333,0,0,0,0,0
1,nominal,MISSION_OK,1,1,0.176666666667,0,0,0,0,0
1,nominal,MISSION_OK,1,1,0.18,0,0,0,0,0
1,nominal,MISSION_OK,1,1,0.183333333333,0,0,0,0,0
1,nominal,MISSION_OK,1,1,0.186666666667,0,0,0,0,0
1,nominal,MISSION_OK,1,1,0.19,0,0,0,0,0
