toggle,label,enabled,status,runtime_s,error_message
model_limitations,Model limitations,0,skipped,0.000138998031616,
smooth_integrator_benchmark,Smooth ODE integrator benchmark,1,completed,1.92709994316,
drift,Drift analysis,1,completed,3.71841192245,
theoretical_efficiency,Theoretical efficiency,0,skipped,8.10623168945e-06,
integrator_tolerance,Integrator tolerance,1,completed,26.0610361099,
collocation_defect_audit,Collocation defect audit,1,completed,16.3220632076,
grid_independence,Grid independence,1,completed,452.093822002,
bifurcation_2d_map,Bifurcation 2D map,0,skipped,1.4066696167e-05,
randomized_multistart,Randomized multi-start robustness,0,skipped,5.96046447754e-06,
monte_carlo_precision_target,Monte Carlo precision target,0,skipped,1.31130218506e-05,
q2_uncertainty_budget,Q2 uncertainty budget,0,skipped,5.24520874023e-06,
q7_conclusion_support,Q7 conclusion support,0,skipped,3.09944152832e-06,
