rtol,atol,final_altitude_m,final_velocity_m_s,altitude_error_m,velocity_error_m_s,radial_velocity_m_s,terminal_valid,strict_terminal_ok,strict_path_ok,raw_path_ok,raw_q_ok,raw_g_ok,q_ok,g_ok,max_q_pa,max_g,status
1e-06,1e-09,419674.856551,7659.1407966,-325.143448564,1.8713120209,-0.341410480135,1,1,1,1,1,1,1,1,34886.7912181,3.96957856292,PASS_RAW
5e-07,5e-10,419306.611772,7657.59182524,-693.388227725,0.322340658165,-2.07823301357,1,1,1,1,1,1,1,1,34846.1933543,3.97125892777,PASS_RAW
1e-07,1e-10,419884.463844,7657.49125007,-115.536156424,0.221765485331,-0.407053514615,1,1,1,1,1,1,1,1,34847.5847725,3.9687836593,PASS_RAW
5e-08,5e-11,419901.514257,7657.36609692,-98.485743342,0.0966123348198,-0.314805048792,1,1,1,1,1,1,1,1,34850.9345838,3.97163503648,PASS_RAW
1e-08,1e-11,419981.240945,7657.29886362,-18.759054861,0.0293790361347,-0.0547263920235,1,1,1,1,1,1,1,1,34856.1273266,3.97421490969,PASS_RAW
5e-09,5e-12,419988.789015,7657.27516678,-11.2109851995,0.0056821996177,-0.0314113330029,1,1,1,1,1,1,1,1,34856.1825388,3.97996574454,PASS_RAW
1e-09,1e-12,419998.344806,7657.27447732,-1.6551944511,0.00499274033973,-0.00344351671266,1,1,1,1,1,1,1,1,34856.4667704,3.97515778202,PASS_RAW
1e-10,1e-13,419999.876472,7657.26970513,-0.123528254218,0.000220546367018,-0.000427541419281,1,1,1,1,1,1,1,1,34847.2885173,3.97519120108,PASS_RAW
1e-11,1e-14,420000.022444,7657.26951935,0.0224441029131,3.47734658135e-05,5.49934126059e-05,1,1,1,1,1,1,1,1,34851.912442,3.97519787157,PASS_RAW
1e-12,1e-14,420000.035738,7657.26951031,0.0357381161302,2.57285528278e-05,9.88321726107e-05,1,1,1,1,1,1,1,1,34852.0137367,3.97866608411,PASS_RAW
