time_s,optimizer_altitude_km,simulation_altitude_km,simulation_velocity_m_s,optimizer_mass_kg,simulation_mass_kg,dynamic_pressure_kpa,g_load,downrange_km,throttle
0.000000,5.000017e-03,5.000017e-03,418.310237,4.975000e+06,4.975000e+06,0.000000,1.524953,0.000000,0.999963
1.096077e-03,5.003118e-03,5.000021e-03,418.311051,4.974975e+06,4.974975e+06,1.988253e-08,1.524960,0.000000,0.999963
0.012057,5.034123e-03,5.000391e-03,418.319191,4.974720e+06,4.974720e+06,2.406137e-06,1.525038,0.000000,0.999963
0.121665,5.344170e-03,5.038125e-03,418.401028,4.972177e+06,4.972177e+06,2.453660e-04,1.525819,0.000000,0.999963
0.340880,5.964265e-03,5.299458e-03,418.567072,4.967092e+06,4.967092e+06,1.931741e-03,1.527383,0.000000,0.999963
0.560095,6.584360e-03,5.809231e-03,418.736298,4.962006e+06,4.962006e+06,5.230220e-03,1.528951,1.344092e-04,0.999963
0.685648,6.939510e-03,6.213373e-03,418.834662,4.959093e+06,4.959093e+06,7.850724e-03,1.529852,1.646170e-04,0.999963
0.811200,7.294660e-03,6.699391e-03,418.934083,4.956180e+06,4.956180e+06,0.011007,1.530754,2.514566e-04,0.999963
0.952352,7.693938e-03,7.343740e-03,419.047123,4.952906e+06,4.952906e+06,0.015199,1.531770,3.292339e-04,0.999963
1.093505,8.093217e-03,8.091952e-03,419.161510,4.949631e+06,4.949631e+06,0.020074,1.532788,4.558037e-04,0.999963
1.098685,8.134921e-03,8.121389e-03,419.165826,4.949511e+06,4.949511e+06,0.020266,1.532824,4.355355e-04,0.999962
1.103438,8.175525e-03,8.148524e-03,419.169796,4.949400e+06,4.949400e+06,0.020443,1.532859,4.558037e-04,0.999962
1.150973,8.581558e-03,8.426368e-03,419.209582,4.948298e+06,4.948298e+06,0.022257,1.533202,4.846192e-04,0.999962
1.626316,0.012642,0.011856,419.615951,4.937270e+06,4.937270e+06,0.044714,1.536648,9.831184e-04,0.999962
1.765941,0.013835,0.013088,419.738275,4.934030e+06,4.934030e+06,0.052816,1.537665,1.167891e-03,0.999962
1.905565,0.015027,0.014424,419.861956,4.930791e+06,4.930791e+06,0.061607,1.538684,1.354135e-03,0.999962
2.184815,0.017413,0.017404,420.113408,4.924313e+06,4.924313e+06,0.081271,1.540727,1.783139e-03,0.999962
2.186766,0.017429,0.017426,420.115184,4.924267e+06,4.924267e+06,0.081418,1.540741,1.790722e-03,0.999962
2.188717,0.017451,0.017448,420.116985,4.924222e+06,4.924222e+06,0.081566,1.540755,1.795759e-03,0.999961
2.190653,0.017478,0.017470,420.118800,4.924177e+06,4.924177e+06,0.081712,1.540769,1.795759e-03,0.999961
2.210009,0.017756,0.017693,420.136966,4.923728e+06,4.923728e+06,0.083183,1.540911,1.825690e-03,0.999961
2.403571,0.020531,0.020027,420.320084,4.919237e+06,4.919237e+06,0.098636,1.542332,2.167283e-03,0.999961
2.918520,0.027915,0.027206,420.820258,4.907291e+06,4.907291e+06,0.146367,1.546132,3.208975e-03,0.999961
3.090412,0.030380,0.029918,420.991468,4.903303e+06,4.903303e+06,0.164461,1.547406,3.605324e-03,0.999961
