time_s,optimizer_altitude_km,simulation_altitude_km,simulation_velocity_m_s,optimizer_mass_kg,simulation_mass_kg,dynamic_pressure_kpa,g_load,downrange_km,throttle
0.000000,-4.075806,-4.075806,418.310237,4.975000e+06,4.975000e+06,0.000000,1.524953,0.000000,0.999963
1.096077e-03,-4.075803,-4.075806,418.311051,4.974975e+06,4.974975e+06,1.988253e-08,1.524960,0.000000,0.999963
0.012057,-4.075772,-4.075806,418.319191,4.974720e+06,4.974720e+06,2.406137e-06,1.525038,0.000000,0.999963
0.121665,-4.075462,-4.075768,418.401028,4.972177e+06,4.972177e+06,2.453660e-04,1.525819,0.000000,0.999963
0.340880,-4.074842,-4.075507,418.567072,4.967092e+06,4.967092e+06,1.931741e-03,1.527383,0.000000,0.999963
0.560095,-4.074222,-4.074997,418.736298,4.962006e+06,4.962006e+06,5.230220e-03,1.528951,1.344092e-04,0.999963
0.685648,-4.073867,-4.074593,418.834662,4.959093e+06,4.959093e+06,7.850724e-03,1.529852,1.646170e-04,0.999963
0.811200,-4.073512,-4.074107,418.934083,4.956180e+06,4.956180e+06,0.011007,1.530754,2.514566e-04,0.999963
0.952352,-4.073112,-4.073463,419.047123,4.952906e+06,4.952906e+06,0.015199,1.531770,3.292339e-04,0.999963
1.093505,-4.072713,-4.072714,419.161510,4.949631e+06,4.949631e+06,0.020074,1.532788,4.558037e-04,0.999963
1.098685,-4.072671,-4.072685,419.165826,4.949511e+06,4.949511e+06,0.020266,1.532824,4.355355e-04,0.999962
1.103438,-4.072631,-4.072658,419.169796,4.949400e+06,4.949400e+06,0.020443,1.532859,4.558037e-04,0.999962
1.150973,-4.072225,-4.072380,419.209582,4.948298e+06,4.948298e+06,0.022257,1.533202,4.846192e-04,0.999962
1.626316,-4.068164,-4.068951,419.615951,4.937270e+06,4.937270e+06,0.044714,1.536648,9.831184e-04,0.999962
1.765941,-4.066972,-4.067718,419.738275,4.934030e+06,4.934030e+06,0.052816,1.537665,1.167891e-03,0.999962
1.905565,-4.065779,-4.066383,419.861956,4.930791e+06,4.930791e+06,0.061607,1.538684,1.354135e-03,0.999962
2.184815,-4.063394,-4.063403,420.113408,4.924313e+06,4.924313e+06,0.081271,1.540727,1.783139e-03,0.999962
2.186766,-4.063377,-4.063380,420.115184,4.924267e+06,4.924267e+06,0.081418,1.540741,1.790722e-03,0.999962
2.188717,-4.063356,-4.063358,420.116985,4.924222e+06,4.924222e+06,0.081566,1.540755,1.795759e-03,0.999961
2.190653,-4.063328,-4.063336,420.118800,4.924177e+06,4.924177e+06,0.081712,1.540769,1.795759e-03,0.999961
2.210009,-4.063050,-4.063114,420.136966,4.923728e+06,4.923728e+06,0.083183,1.540911,1.825690e-03,0.999961
2.403571,-4.060275,-4.060780,420.320084,4.919237e+06,4.919237e+06,0.098636,1.542332,2.167283e-03,0.999961
2.918520,-4.052891,-4.053600,420.820258,4.907291e+06,4.907291e+06,0.146367,1.546132,3.208975e-03,0.999961
3.090412,-4.050426,-4.050888,420.991468,4.903303e+06,4.903303e+06,0.164461,1.547406,3.605324e-03,0.999961
3.262304,-4.047961,-4.048017,421.164825,4.899315e+06,4.899315e+06,0.183648,1.548683,4.025550e-03,0.999961
3.279043,-4.047721,-4.047729,421.181823,4.898927e+06,4.898927e+06,0.185575,1.548808,4.067960e-03,0.999961
3.280929,-4.047694,-4.047697,421.183739,4.898883e+06,4.898883e+06,0.185792,1.548822,4.070180e-03,0.999961
3.282814,-4.047661,-4.047664,421.185685,4.898839e+06,4.898839e+06,0.186010,1.548837,4.075725e-03,0.999960
3.284733,-4.047623,-4.047631,421.187702,4.898795e+06,4.898795e+06,0.186232,1.548851,4.080155e-03,0.999960
3.303918,-4.047235,-4.047299,421.207888,4.898350e+06,4.898350e+06,0.188459,1.548994,4.127478e-03,0.999960
3.495774,-4.043355,-4.043864,421.411234,4.893899e+06,4.893899e+06,0.211481,1.550424,4.631757e-03,0.999960
4.001501,-4.033128,-4.033858,421.960293,4.882166e+06,4.882166e+06,0.278791,1.554211,6.103420e-03,0.999960
4.170942,-4.029702,-4.030196,422.148519,4.878235e+06,4.878235e+06,0.303508,1.555486,6.643404e-03,0.999960
4.340383,-4.026276,-4.026377,422.338907,4.874304e+06,4.874304e+06,0.329320,1.556764,7.206890e-03,0.999960
4.364695,-4.025784,-4.025817,422.366402,4.873740e+06,4.873740e+06,0.333114,1.556947,7.290382e-03,0.999960
4.374753,-4.025581,-4.025584,422.377790,4.873506e+06,4.873506e+06,0.334690,1.557023,7.325609e-03,0.999960
4.382646,-4.025380,-4.025400,422.387042,4.873323e+06,4.873323e+06,0.335930,1.557088,7.352072e-03,0.999959
4.389888,-4.025190,-4.025232,422.395563,4.873155e+06,4.873155e+06,0.337071,1.557143,7.377828e-03,0.999959
4.462307,-4.023294,-4.023533,422.480990,4.871475e+06,4.871475e+06,0.348584,1.557690,7.628831e-03,0.999959
5.186496,-4.004327,-4.004959,423.357339,4.854674e+06,4.854674e+06,0.474887,1.563192,0.010398,0.999959
5.423318,-3.998125,-3.998259,423.652721,4.849180e+06,4.849180e+06,0.520633,1.565003,0.011404,0.999959
5.441939,-3.997637,-3.997719,423.676132,4.848748e+06,4.848748e+06,0.524323,1.565146,0.011485,0.999959
5.460560,-3.997150,-3.997177,423.699571,4.848316e+06,4.848316e+06,0.528027,1.565289,0.011566,0.999959
5.465480,-3.997021,-3.997034,423.705768,4.848202e+06,4.848202e+06,0.529008,1.565326,0.011588,0.999959
5.468025,-3.996954,-3.996959,423.708975,4.848143e+06,4.848143e+06,0.529516,1.565346,0.011599,0.999959
5.470571,-3.996882,-3.996885,423.712243,4.848084e+06,4.848084e+06,0.530025,1.565376,0.011610,0.999957
5.473009,-3.996804,-3.996814,423.715441,4.848027e+06,4.848027e+06,0.530512,1.565395,0.011622,0.999957
5.497391,-3.996018,-3.996100,423.747448,4.847461e+06,4.847461e+06,0.535399,1.565582,0.011728,0.999957
5.741207,-3.988156,-3.988777,424.070092,4.841805e+06,4.841805e+06,0.585565,1.567454,0.012833,0.999957
6.257680,-3.971502,-3.972175,424.769116,4.829823e+06,4.829823e+06,0.699654,1.571439,0.015356,0.999957
6.427949,-3.966012,-3.966375,425.004247,4.825873e+06,4.825873e+06,0.739611,1.572759,0.016242,0.999957
6.497815,-3.963759,-3.963949,425.101403,4.824252e+06,4.824252e+06,0.756345,1.573302,0.016614,0.999957
6.522081,-3.962977,-3.963099,425.135241,4.823689e+06,4.823689e+06,0.762204,1.573490,0.016745,0.999957
6.546348,-3.962194,-3.962247,425.169127,4.823126e+06,4.823126e+06,0.768086,1.573679,0.016875,0.999957
6.554166,-3.961942,-3.961971,425.180054,4.822944e+06,4.822944e+06,0.769986,1.573739,0.016917,0.999957
6.561984,-3.961690,-3.961695,425.190986,4.822763e+06,4.822763e+06,0.771889,1.573800,0.016960,0.999957
6.569715,-3.961404,-3.961422,425.202221,4.822584e+06,4.822584e+06,0.773774,1.573880,0.017002,0.999956
6.576755,-3.961134,-3.961174,425.212495,4.822420e+06,4.822420e+06,0.775493,1.573934,0.017040,0.999956
6.647159,-3.958431,-3.958669,425.315459,4.820787e+06,4.820787e+06,0.792798,1.574482,0.017424,0.999956
7.351196,-3.931406,-3.932089,426.367390,4.804454e+06,4.804454e+06,0.976956,1.579985,0.021539,0.999956
7.593835,-3.922091,-3.922278,426.739408,4.798824e+06,4.798824e+06,1.045134,1.581894,0.023071,0.999956
7.642663,-3.920217,-3.920263,426.814864,4.797692e+06,4.797692e+06,1.059148,1.582279,0.023387,0.999956
7.649734,-3.919946,-3.919970,426.825808,4.797528e+06,4.797528e+06,1.061186,1.582335,0.023433,0.999956
7.656805,-3.919674,-3.919677,426.836756,4.797364e+06,4.797364e+06,1.063225,1.582390,0.023479,0.999956
7.664110,-3.919354,-3.919374,426.848524,4.797194e+06,4.797194e+06,1.065337,1.582479,0.023527,0.999954
7.670775,-3.919056,-3.919097,426.859306,4.797039e+06,4.797039e+06,1.067265,1.582531,0.023570,0.999954
7.737425,-3.916083,-3.916314,426.967335,4.795493e+06,4.795493e+06,1.086652,1.583057,0.024006,0.999954
8.403931,-3.886346,-3.887090,428.068223,4.780030e+06,4.780030e+06,1.290693,1.588338,0.028634,0.999954
8.648155,-3.875449,-3.875744,428.481072,4.774365e+06,4.774365e+06,1.370109,1.590285,0.030448,0.999954
8.739648,-3.871367,-3.871404,428.637055,4.772242e+06,4.772242e+06,1.400505,1.591016,0.031144,0.999954
8.750676,-3.870875,-3.870878,428.655905,4.771986e+06,4.771986e+06,1.404193,1.591104,0.031229,0.999954
8.757707,-3.870523,-3.870542,428.668419,4.771823e+06,4.771823e+06,1.406549,1.591207,0.031282,0.999953
8.764104,-3.870197,-3.870236,428.679853,4.771675e+06,4.771675e+06,1.408695,1.591258,0.031331,0.999953
8.828072,-3.866939,-3.867165,428.794387,4.770191e+06,4.770191e+06,1.430249,1.591769,0.031825,0.999953
9.467757,-3.834357,-3.835144,429.959261,4.755350e+06,4.755350e+06,1.655325,1.596906,0.037023,0.999953
9.713393,-3.821846,-3.822216,430.416080,4.749651e+06,4.749651e+06,1.746373,1.598889,0.039144,0.999953
9.804262,-3.817217,-3.817344,430.586422,4.747543e+06,4.747543e+06,1.780707,1.599624,0.039947,0.999953
9.845255,-3.815129,-3.815130,430.663507,4.746592e+06,4.746592e+06,1.796311,1.599956,0.040312,0.999953
9.851969,-3.814746,-3.814767,430.676666,4.746436e+06,4.746436e+06,1.798876,1.600077,0.040372,0.999951
9.858067,-3.814397,-3.814437,430.688670,4.746295e+06,4.746295e+06,1.801209,1.600127,0.040426,0.999951
9.919050,-3.810900,-3.811121,430.808892,4.744880e+06,4.744880e+06,1.824621,1.600621,0.040974,0.999951
10.528883,-3.775932,-3.776760,432.029358,4.730732e+06,4.730732e+06,2.067530,1.605581,0.046705,0.999951
10.775990,-3.761763,-3.762212,432.533409,4.725000e+06,4.725000e+06,2.170514,1.607601,0.049159,0.999951
10.866265,-3.756586,-3.756807,432.718933,4.722905e+06,4.722905e+06,2.208793,1.608341,0.050074,0.999951
10.891120,-3.755161,-3.755310,432.770142,4.722329e+06,4.722329e+06,2.219394,1.608545,0.050328,0.999951
10.915975,-3.753736,-3.753810,432.821407,4.721752e+06,4.721752e+06,2.230022,1.608749,0.050583,0.999951
10.925578,-3.753185,-3.753230,432.841229,4.721529e+06,4.721529e+06,2.234135,1.608827,0.050681,0.999951
10.935182,-3.752634,-3.752648,432.861060,4.721306e+06,4.721306e+06,2.238253,1.608906,0.050780,0.999951
10.937703,-3.752490,-3.752496,432.866268,4.721248e+06,4.721248e+06,2.239334,1.608927,0.050806,0.999951
10.940224,-3.752341,-3.752343,432.871585,4.721189e+06,4.721189e+06,2.240417,1.609039,0.050831,0.999950
10.942528,-3.752193,-3.752203,432.876560,4.721136e+06,4.721136e+06,2.241407,1.609058,0.050855,0.999950
10.965562,-3.750723,-3.750806,432.926336,4.720602e+06,4.720602e+06,2.251322,1.609247,0.051093,0.999950
11.195911,-3.736019,-3.736660,433.426759,4.715258e+06,4.715258e+06,2.351738,1.611139,0.053506,0.999950
11.656607,-3.706610,-3.707418,434.442197,4.704570e+06,4.704570e+06,2.559478,1.614939,0.058546,0.999950
11.748746,-3.700728,-3.701417,434.647634,4.702432e+06,4.702432e+06,2.602132,1.615702,0.059588,0.999950
11.840885,-3.694846,-3.695366,434.853857,4.700294e+06,4.700294e+06,2.645156,1.616465,0.060641,0.999950
11.946874,-3.688080,-3.688342,435.092053,4.697836e+06,4.697836e+06,2.695102,1.617344,0.061867,0.999950
11.974834,-3.686295,-3.686477,435.155064,4.697187e+06,4.697187e+06,2.708360,1.617576,0.062193,0.999950
12.002794,-3.684511,-3.684608,435.218147,4.696538e+06,4.696538e+06,2.721651,1.617808,0.062520,0.999950
12.031247,-3.682694,-3.682701,435.282418,4.695878e+06,4.695878e+06,2.735212,1.618044,0.062854,0.999950
12.032660,-3.682604,-3.682607,435.285611,4.695845e+06,4.695845e+06,2.735886,1.618056,0.062870,0.999950
12.034072,-3.682510,-3.682512,435.288870,4.695813e+06,4.695813e+06,2.736560,1.618189,0.062887,0.999948
12.035506,-3.682409,-3.682416,435.292257,4.695779e+06,4.695779e+06,2.737246,1.618201,0.062904,0.999948
12.049842,-3.681399,-3.681453,435.326137,4.695447e+06,4.695447e+06,2.744106,1.618320,0.063073,0.999948
